Id,Label,Interval,Level,In-Degree,Out_degree,Degree,Weighted In-Degree,Weighted Out-Degree,Weighted Degree,Eccentricity,Closeness Centrality,Harmonic Closeness Centrality,Betweenness Centrality
CZ1003,Introduction to Computational Thinking & Programming,,1,0,2,2,0,2,2,3,0.5,0.583333333,0
MH1805,Calculus I and II,,1,0,2,2,0,2,2,2,0.6,0.666666667,0
MH1812,Discrete Mathematics,,1,0,0,0,0,0,0,0,0,0,0
CC0001,Inquiry and Communication in an Interdisciplinary World,,1,0,1,1,0,1,1,1,1,1,0
CC0002,Navigating the Digital World,,1,0,0,0,0,0,0,0,0,0,0
CZ1007,Data Structures& Algorithms,,1,1,5,6,1,5,6,2,0.777777778,0.857142857,0.007389163
CZ2002,Object Oriented Design and Programming,,1,1,1,2,1,1,2,1,1,1,0.002463054
SC1015,Introduction to Data Science & AI,,2,0,0,0,0,0,0,0,0,0,0
CC0003,Ethics & Moral Reasoning in a Multi-Cultural World,,1,0,0,0,0,0,0,0,0,0,0
CC0005,Healthy Living & Mental Well-being in an Aging Society,,1,0,0,0,0,0,0,0,0,0,0
CZ2001,Algorithm Design and Analysis,,2,1,2,3,1,2,3,1,1,1,0.002463054
CZ2006,Software Engineering,,2,1,0,1,1,0,1,0,0,0,0
MH2500,Probability and Introduction to Statistics,,2,1,4,5,1,4,5,1,1,1,0.004926108
MH2802,Linear Algebra for Scientists,,2,1,0,1,1,0,1,0,0,0,0
CC0006,"Sustainability: Society, Economy & Environment",,1,0,0,0,0,0,0,0,0,0,0
ML0004,Career and Entrepreneurial Development for the Future World,,1,0,0,0,0,0,0,0,0,0,0
CZ2007,Introduction to Database Systems,,2,2,0,2,2,0,2,0,0,0,0
CZ3005,Artificial Intelligence,,3,2,0,2,2,0,2,0,0,0,0
MH3500,Statistics,,3,1,0,1,1,0,1,0,0,0,0
MH3511,Data Analysis with Computer,,3,1,0,1,1,0,1,0,0,0,0
HW0218,Communication Across the Sciences,,1,1,0,1,1,0,1,0,0,0,0
CC0007,Science&Technology for Humanity,,1,0,0,0,0,0,0,0,0,0,0
CZ4041,Machine Learning,,4,3,0,3,3,0,3,0,0,0,0
CZ4032,Data Analytics and Mining,,4,1,0,1,1,0,1,0,0,0,0
MH2100,Calculus III,,2,1,0,1,1,0,1,0,0,0,0
SD3079,Professional Internship,,3,1,0,1,1,0,1,0,0,0,0
SC4079,Final Year Project,,4,1,0,1,1,0,1,0,0,0,0
H2 Math,H2 Math,,,0,1,1,0,1,1,1,1,1,0
