Id,Label,Level
CZ1003,Introduction to Computational Thinking & Programming,1
MH1805,Calculus I and II,1
MH1812,Discrete Mathematics,1
CC0001,Inquiry and Communication in an Interdisciplinary World,1
CC0002,Navigating the Digital World,1
CZ1007,Data Structures& Algorithms,1
CZ2002,Object Oriented Design and Programming,1
SC1015,Introduction to Data Science & AI,2
CC0003,Ethics & Moral Reasoning in a Multi-Cultural World,1
CC0005,Healthy Living & Mental Well-being in an Aging Society,1
CZ2001,Algorithm Design and Analysis,2
CZ2006,Software Engineering,2
MH2500,Probability and Introduction to Statistics,2
MH2802,Linear Algebra for Scientists,2
CC0006,"Sustainability: Society, Economy & Environment",1
ML0004,Career and Entrepreneurial Development for the Future World,1
CZ2007,Introduction to Database Systems,2
CZ3005,Artificial Intelligence,3
MH3500,Statistics,3
MH3511,Data Analysis with Computer,3
HW0218,Communication Across the Sciences,1
CC0007,Science&Technology for Humanity,1
CZ4041,Machine Learning,4
CZ4032,Data Analytics and Mining,4
MH2100,Calculus III,2
SD3079,Professional Internship,3
SC4079,Final Year Project,4
