Source,Target,Type,Weight
CS1010,CS2040,Directed,1
DSA1101,DSA2101,Directed,1
GER1000,DSA2101,Directed,1
MA1101R,DSA2101,Directed,1
ST2131,DSA2101,Directed,1
MA1101R,DSA2102,Directed,1
MA1102R,DSA2102,Directed,1
MA1102R,MA2311,Directed,1
MA1102R,ST2131,Directed,1
ST2131,ST2132,Directed,1
CS2040,CS3244,Directed,1
ST2131,CS3244,Directed,1
MA1101R,CS3244,Directed,1
MA1102R,CS3244,Directed,1
DSA2101,DSA3101,Directed,1
ST2132,DSA3101,Directed,1
CS1010,DSA3102,Directed,1
MA1101R,DSA3102,Directed,1
MA2311,DSA3102,Directed,1
ST2131,ST3131,Directed,1
CS1010,DSA4199,Directed,1
DSA1101,DSA4199,Directed,1
MA1101R,DSA4199,Directed,1
CS2040,DSA4199,Directed,1
DSA2101,DSA4199,Directed,1
DSA2102,DSA4199,Directed,1
MA2311,DSA4199,Directed,1
ST2131,DSA4199,Directed,1
ST2132,DSA4199,Directed,1
CS3244,DSA4199,Directed,1
DSA3101,DSA4199,Directed,1
DSA3102,DSA4199,Directed,1
ST3131,DSA4199,Directed,1
CS1010,DSA4299,Directed,1
DSA1101,DSA4299,Directed,1
MA1101R,DSA4299,Directed,1
CS2040,DSA4299,Directed,1
DSA2101,DSA4299,Directed,1
DSA2102,DSA4299,Directed,1
MA2311,DSA4299,Directed,1
ST2131,DSA4299,Directed,1
ST2132,DSA4299,Directed,1
CS3244,DSA4299,Directed,1
DSA3101,DSA4299,Directed,1
DSA3102,DSA4299,Directed,1
ST3131,DSA4299,Directed,1
ST3131,DSA4211,Directed,1
MA1101R,DSA4212,Directed,1
MA2311,DSA4212,Directed,1
ST2132,DSA4212,Directed,1
CS3244,DSA4262,Directed,1
DSA3101,DSA4262,Directed,1
CS3244,DSA4263,Directed,1
DSA3101,DSA4263,Directed,1
CS3244,DSA4266,Directed,1
DSA3101,DSA4266,Directed,1
MA2311,MA3236,Directed,1
MA1101R,MA3252,Directed,1
DSA2102,MA4270,Directed,1
ST2131,MA4270,Directed,1
ST2132,ST3232,Directed,1
ST2132,ST4253,Directed,1
ST2131,ST3239,Directed,1
ST3131,ST4250,Directed,1
ST2131,ST3247,Directed,1
CS1010,ST3247,Directed,1
 ST2132,ST3248,Directed,1
ST2132,ST4231,Directed,1
ST2132,ST4234,Directed,1
 ST3131,ST4248,Directed,1
ST3248,ST4248,Directed,1
CS2100,CS3210,Directed,1
CS2040,CS3223,Directed,1
CS2102,CS3223,Directed,1
CS2040,CS3230,Directed,1
CS1231,CS3230,Directed,1
CS2040,CS3243,Directed,1
CS1231,CS3243,Directed,1
CS3223,CS4224,Directed,1
 CS2102,CS4225,Directed,1
 CS3210,CS4231,Directed,1
CS3230,CS4231,Directed,1
MA1101R,CS4234,Directed,1
 CS3230,CS4234,Directed,1
MA1101R,CS4243,Directed,1
ST2131,CS4243,Directed,1
CS2030,CS4243,Directed,1
MA1102R,CS4243,Directed,1
CS2040,CS4243,Directed,1
CS3243,CS4248,Directed,1
ST2131,CS4248,Directed,1
MA1102R,CS4248,Directed,1
CS3243,CS5340 ,Directed,1
ST2132,CS5340 ,Directed,1
ST2131,CS5340 ,Directed,1
MA2101,MA4230,Directed,1
DSA2102,MA4230,Directed,1
CS1010,CS2030,Directed,1
CS1010,CS2100,Directed,1
MA1101R,MA2101,Directed,1
CS1231,CS2102,Directed,1
CS2040,CS2102,Directed,1
