Id,Label,Type
0,NTU | CZ1003: Introduction to Computational Thinking & Programming,Module
1,NTU | MH1805: Calculus I and II,Module
2,NTU | MH1812: Discrete Mathematics,Module
3,NTU | CC0001: Inquiry and Communication in an Interdisciplinary World,Module
4,NTU | CC0002: Navigating the Digital World,Module
5,NTU | CZ1007: Data Structures& Algorithms,Module
6,NTU | CZ2002: Object Oriented Design and Programming,Module
7,NTU | SC1015: Introduction to Data Science & AI,Module
8,NTU | CC0003: Ethics & Moral Reasoning in a Multi-Cultural World,Module
9,NTU | CC0005: Healthy Living & Mental Well-being in an Aging Society,Module
10,NTU | CZ2001: Algorithm Design and Analysis,Module
11,NTU | CZ2006: Software Engineering,Module
12,NTU | MH2500: Probability and Introduction to Statistics,Module
13,NTU | MH2802: Linear Algebra for Scientists,Module
14,"NTU | CC0006: Sustainability: Society, Economy & Environment",Module
15,NTU | ML0004: Career and Entrepreneurial Development for the Future World,Module
16,NTU | CZ2007: Introduction to Database Systems,Module
17,NTU | CZ3005: Artificial Intelligence,Module
18,NTU | MH3500: Statistics,Module
19,NTU | MH3511: Data Analysis with Computer,Module
20,NTU | HW0218: Communication Across the Sciences,Module
21,NTU | CC0007: Science&Technology for Humanity,Module
22,NTU | CZ4041: Machine Learning,Module
23,NTU | CZ4032: Data Analytics and Mining,Module
24,NTU | MH2100: Calculus III,Module
25,NTU | SD3079: Professional Internship,Module
26,NTU | SC4079: Final Year Project,Module
27,SIT | CSC1002: Mathematics 1,Module
28,SIT | CSC1001: Introduction to Computer Systems,Module
29,SIT | ICT1002: Programming Fundamentals,Module
30,SIT | CSC1006: Mathematics 2,Module
31,SIT | CSC3009: Machine Learning,Module
32,SIT | ICT1008: Data Structures and Algorithms,Module
33,SIT | ICT1004: Web Systems and Technologies,Module
34,SIT | CSC1009: Object-Oriented Programming,Module
35,SIT | DCM1112: Data Engineering and Visualization,Module
36,SIT | PHE2019: Ethics and Professional Conducts,Module
37,SIT | ICT2101: Introduction to Software Engineering,Module
38,SIT | CSC2003: Embedded Systems Programming,Module
39,SIT | CSC2008: Database Systems,Module
40,SIT | CSC3004: Cloud Computing and Big Data,Module
41,SIT | ICT4005: Change Management,Module
42,SIT | ICT3211: Integrative Team Project,Module
43,SIT | ICT3210/ICT3110: Industry Certification Module,Module
44,SIT | CSC3002: Integrated Work Study Programme,Module
45,SIT | ICT4001: Capstone Project,Module
46,SIT | CSC3005: Data Analytics ,Module
47,NUS | CS1010: Programming Methodology,Module
48,NUS | DSA1101: Introduction to Data Science,Module
