,Title,Company,Description,URL
0,Data Analyst,ALLIED SEARCH PTE. LTD.,"Competitive Remuneration 5 days work week (Office hours) Good career progression As a Business Analyst, you will be responsible for the following duties: Conduct market analysis and ensure specifications and data are interpreted correctly In-depth investigation and gathering of technical and non-technical information Accurately analyzes that business data is consistent and up to standards Review up-to-date business processes and new IT advancements to make systems more modern. Translates conceptual customer requirements into functional requirements in a clear manner that is comprehensible to developers/project team. Creates process models, specifications, diagrams, and charts to provide direction to developers and/or the project team. Requirements: A bachelor’s degree in computer science or related field. To apply, simply click on the “apply” button in the job advertisement We regret to inform that only shortlisted candidates will be notified. ALLIED SEARCH PTE. LTD. EA LICENSE : 19C9777",https://www.jobstreet.com.sg/en/job/data-analyst-10533483?jobId=jobstreet-sg-job-10533483&sectionRank=1&token=0~23e38577-afa3-4d8a-adb7-6686ed1d0e46&fr=SRP%20Job%20Listing
1,Junior Data Analyst cum Developer (Entry Level / Banking Ind),MMC Success Pte. Ltd.,"Well Established Organisation Friendly Working Environment Training is Provided Responsibilities: Web and business analytic data model and visualization development Ensure all the tasks given are completed within timeline with quality Ensure proper code-based documentation in place Requirements: Experience in PHP, JavaScript development Experience on Qliksense is an advantage Knowledge of core technologies like REST, MySQL and Oracle SQL Able to complete assigned tasks with minimal supervision. Good interpersonal communication skill with stakeholders and a team player How to Apply: Interested candidates, please submit your updated resume in MSWORD format by using Apply Now button 500 *We regret only shortlisted candidates will be notified.* Important Note: MMC Success Pte Ltd is committed to safeguarding your personal data in accordance with the Personal Data Protection Act (PDPA). Ha Wai Qi Registration Number: R22107863 EA License No: 22C1107",https://www.jobstreet.com.sg/en/job/junior-data-analyst-cum-developer-entry-level-banking-ind-10532677?jobId=jobstreet-sg-job-10532677&sectionRank=2&token=0~23e38577-afa3-4d8a-adb7-6686ed1d0e46&fr=SRP%20Job%20Listing
2,Data Analyst (East/ Data/Project/manufacturing),Adecco Personnel Pte Ltd.,"Location : East Working Days: 5 Days, Monday to Friday Working Hours: 8.30am - 5.30pm Salary Package: Starting salary per month depending on experience, AWS with VB, and Permanent Benefits Our Client is a leading technology company providing component-based solutions for security and identification. We are a world-class specialist in the design and manufacture of Micro connectors for smartcards and RFID Antennas and Inlays. Job Responsibilities: Responsible for integration within Singapore site Responsible for developing and up-keeping necessary system, practices, procedures Be vigilant about market developments in industrial engineering and its evolutions. Cross-site collaboration with counterpart in China to derive, exchange and implement the best practices and methods Work closely with various departments, such as production workshops, supply chain, quality and lean to define and develop improvement actions Investment decisions to be validated for maximizing the ROI and better utilizing existing resources Create new items and manage master data accuracy on regular basis in QAD Work closely with Finance to check on costing accuracy Analyse all available data and derive opportunities for improvements Close follow-up on issues raised and work out a resolution to prevent further occurrences Propose and establish new data analysis methods or modify existing models to capture improvement opportunities Develop and improve master data management Active participation in projects that requires Master Data involvement Requirements: Degree in Engineering or equivalent 1- 2 years of work experience in data management Good knowledge and experience in Industrial engineering or value engineering Ability to work closely with other sites' Master Data to discuss and communicate information effectively Education Requirements : Interested applicants kindly send in your detailed WORD format CV to Jasmine.Toh@adecco.com Only shortlisted candidates will be notified Jasmine Toh Law Ting Direct Line: +65 9273 6741 EA License No: 91C2918 Personnel Registration Number: R2092390",https://www.jobstreet.com.sg/en/job/data-analyst-east-data-project-manufacturing-10532764?jobId=jobstreet-sg-job-10532764&sectionRank=3&token=0~23e38577-afa3-4d8a-adb7-6686ed1d0e46&fr=SRP%20Job%20Listing
3,Data Analyst cum Developer (Php / Javascript / Qliksense) – Perm,GMP Technologies - IT,"Responsibilities: Web and business analytic data model and visualization development Ensure all the tasks given are completed within timeline with quality Ensure proper code-based documentation in-place Requirements: Diploma / Degree in Computer Science, Computer Engineering, or related fields Experienced in PHP, JavaScript development Experience on Qliksense is an advantage Knowledge of core technologies like REST, MySQL and Oracle SQL Able to complete assigned tasks with minimal supervision. Good interpersonal communication skill with stakeholders and a team player To apply, please visit www.gmprecruit.com and search for Job Reference: 22261 We regret that only shortlisted candidates will be notified. GMP Technologies (S) Pte Ltd | EA Licence: 11C3793 | EA Personnel: Lai Yingying | Registration No: R1110239",https://www.jobstreet.com.sg/en/job/data-analyst-cum-developer-php-javascript-qliksense-perm-10529691?jobId=jobstreet-sg-job-10529691&sectionRank=4&token=0~23e38577-afa3-4d8a-adb7-6686ed1d0e46&fr=SRP%20Job%20Listing
4,Process Audit Executive / Senior Executive (Market Research),Triton AI Pte Ltd,"Permanent Role with Attractive Variable Bonus Market Research Company located at Central near MRT Station Entry Level for Candidate with Passionate in Data Analyst and Keen Interest on Process Continual Improvement Responsibilities: Independently plan and execute research audit programs Evaluate vendors’ compliance with its quality control procedures by verifying its operating practices and documentation Conduct thorough checks during project setup to ensure critical must-haves are in place Observe if data is collected in accordance to project requirements through one-to-one shadowing of interviewers on the ground Perform data quality analysis, using Excel/SPSS, to understand interviewer behavior and detect data inconsistencies Document results of the evaluation accurately in an unbiased and timely manner Conduct investigations on irregularities and errors Produce research audit reports highlighting issues and recommendations for review with Department Head Present research audit findings to client Maintain collaborative working relationships with internal &amp; external stakeholders Assist Department Head in consolidating best practices observed across the industry Requirements: Inquisitive outlook who enjoys analysing data and problem solving Methodical with a keen interest in processes and continual improvement Highly observant to identify nuances or peculiarities Strong communicator, both written and spoken, to deliver research audit insights to various stakeholders • Strong time management and organizational skills Working knowledge of the Market Research industry will be an added advantage Interested candidates can forward their CVs in MS Word format to weiyan#triton-ai.com Reg No. R1983718 Triton AI Pte Ltd License no. 21C0661",https://www.jobstreet.com.sg/en/job/process-audit-executive-senior-executive-market-research-10531906?jobId=jobstreet-sg-job-10531906&sectionRank=5&token=0~23e38577-afa3-4d8a-adb7-6686ed1d0e46&fr=SRP%20Job%20Listing
5,Data Analyst | $ 5500 | 1 Year Contract (Renewable) | East,APBA TG Human Resource Pte Ltd,"Data Analyst | $ 5500 | 1 Year Contract (Renewable) | East Responsibilities · Using automated tools to extract data from primary and secondary sources from different information platforms · Filter and perform data cleaning by reviewing computer reports, printouts, etc. to locate and correct code problems · Developing and maintaining databases, data systems · Interpret data, analyze results using statistical techniques and provide ongoing reports by using data visualization tools · Identify, analyse, and interpret trends, patterns, and insights in complex data sets · Perform predictive analysis on · Collaborate &amp; communicate with internal and external stakeholders to understand needs and support development and implementation of digital solutions Requirements: · Bachelor’s degree in Information Systems, Computer Science, or related discipline · At least 1-3 years of experience in business analyst role or equivalent management consulting experience · Advanced level skills in using data analytics tool such as Tableau, PowerBI, Python, SQL, Power Query, etc. · Experience with automation tools such as Power Automate, UI path etc. · Experience implementing batch and streaming data pipelines · Have a good understanding of data warehousing, database structure, etc. · Demonstrate resourcefulness and creativity when working on data manipulation with common and basic tools likes excel, text editors, google sheets · Good communication skills to understand customer’s needs · Strong presentation and storytelling skills · Proactive personality with good analytical and organization skills Interested candidates, please send your CVs. Regret to inform that only shortlisted candidates will be notified. CEI: R1988671 EA License: 14C7275",https://www.jobstreet.com.sg/en/job/data-analyst-%7C-%24-5500-%7C-1-year-contract-renewable-%7C-east-10525935?jobId=jobstreet-sg-job-10525935&sectionRank=6&token=0~23e38577-afa3-4d8a-adb7-6686ed1d0e46&fr=SRP%20Job%20Listing
6,Livestream Business Data Analyst #UrgentHire,TikTok,"Responsibilities Establish analytical framework for the TikTok Live streaming team: root cause analysis, core metrics monitoring, and automated dashboards to surface key data insights to stakeholders and inform product strategies. Evaluate and forecast the impact of product features on creators, agencies, operation and the TikTok ecosystem. Dive deep into the data to understand how creator, 3rd parties, and viewer behaviors change with the evolution of our product. Understand top performers and use data to explore and analyze actionable operational strategies. Act as our team's thought leader on best practices and move towards a long-term vision of sustainable and thriving data processes. Work hand-in-hand with operation, product, engineering, and design to proactively influence and inform teammates' decisions throughout the business lifecycle. Qualifications Bachelor degree or above, major in mathematics, statistics, computer science is preferred; or major in science or engineering or engaged in data statistics, analysis, modeling related working areas after graduation. 5+ years of domain experience in a mobile or consumer internet business, or in a high-velocity, high-growth product or team. Data analysis ability, familiar with Hive SQL, Python, R. Familiarity of machine learning Knowledge will be a plus. Familiar with statistics and dashboard, preferred to have experience in user growth, metrics creation, A/B testing, and data modeling. An impact-oriented, customer-centric approach to data analysis; Exceptional analysis, communication, and strategy report writing skills. Has a “can-do” attitude with a strong sense of ownership to execute end-to-end projects. Self-driven and able to manage and balance ongoing requests with proper prioritization.",https://www.jobstreet.com.sg/en/job/livestream-business-data-analyst-urgenthire-10524817?jobId=jobstreet-sg-job-10524817&sectionRank=7&token=0~23e38577-afa3-4d8a-adb7-6686ed1d0e46&fr=SRP%20Job%20Listing
7,"Human Resource (Payroll Officer, Data Analyst)",Company Confidential,"Oversees, executes and ensures compliance on (but not limited to) the following day-to-day payroll processes: Responsible for monthly full payroll cycle of 500 headcounts including payroll processing, payroll reconciliation, reports. Monitor and manage payroll legislation compliance. Manage in-house time attendance records and Interface with payroll. Responsible for statutory payment submission and claims - CPF, FWL, IRAS (IR21, IR8A), NS claims, Government-Paid maternity, Paternity and childcare Leave, Mediation (TADM), etc. Maintain and upkeep employee records in HR system and Personnel File (P-File). Research emerging market trends and changes in the regulatory environment, conduct external and internal research and summarize results for management review to support compliance work. Support ad-hoc project work and provide analysis to enhance the effectiveness of the overall HR function and business performance. Research employee benefits in similar industries and advise on changes/updates to the company’s existing benefits or policies. Foster positive and cordial working relationships with both internal and external stakeholders. Requirement Possess Degree/Diploma in Human Resource Management or in any discipline with at least 2 years of relevant experience in HR function. Good knowledge on Employment Act, MOM regulations and tax regulations. Proficiency in Microsoft Office Applications Knowledge of TimeSoft and E-Cirtrix will be an added advantage. Detail oriented, able to maintain confidentiality and work independently. Proactive, able to multi-task and work in a fast paced environment. Good interpersonal skills, accountable, initiative and willingness to learn. Good team player with positive working attitude. Strategic thinking &amp; strong analytical skills. Working Hours : 5-days (Mon-Fri 8.15am – 5.30pm)",https://www.jobstreet.com.sg/en/job/human-resource-payroll-officer-data-analyst-10525314?jobId=jobstreet-sg-job-10525314&sectionRank=8&token=0~23e38577-afa3-4d8a-adb7-6686ed1d0e46&fr=SRP%20Job%20Listing
8,E-commerce Data Analyst #JobsThatMatter,TikTok,"Responsibilities: The e-commerce industry has seen tremendous growth in recent years and has become a hotly contested space amongst leading Internet companies, and its future growth cannot be underestimated. With millions of loyal users globally, we believe TikTok is an ideal platform to deliver a brand new and better e-commerce experience to our users. We are looking for passionate and talented people to join our product and operations team, together we can build an e-commerce ecosystem that is innovative, secure and intuitive for our users. Overall responsible for data support of e-commerce overseas operation module; Daily output and follow up the data output of the whole operation and each module; Operation core index design, data dashboard design landing, core index data abnormal monitoring; Data analysis and follow-up of operation activities in overseas countries; In depth analysis of business, user, commodity and other data, and provide to the operation team to support the operation strategy; Follow up the local operation work overseas, support the operation effect and give the follow-up optimization suggestions; Cooperate with product / operation / R &amp; D, promote the implementation of optimization scheme, and bring about the actual improvement and growth of business; Responsible for all kinds of a / b experiment design and analysis; Analysis of the overall overseas market and business operation of a certain country. Qualifications: Bachelor degree or above, major in mathematics, statistics, computer is preferred; or major in science or engineering or engaged in data statistics, analysis, modeling related working areas after graduation； Proficient in SQL, can use Python or R for data analysis； At least 3 years of working experience in e-commerce business and analysis is preferred； Overseas business experience or analytical experience is preferred； Able to write requirement documents in English and communicate with global staff; Have a strong learning ability and curiosity; ability to pick up domain knowledge in new areas quickly; Can lead a small project team to support business; Have a strong ability to work under pressure, have the courage to overcome difficulties and accept challenges.",https://www.jobstreet.com.sg/en/job/e-commerce-data-analyst-jobsthatmatter-10523872?jobId=jobstreet-sg-job-10523872&sectionRank=9&token=0~23e38577-afa3-4d8a-adb7-6686ed1d0e46&fr=SRP%20Job%20Listing
9,"Business Data Analyst (PowerBI, SQL) (No exp/ $5K+AWS+VB) ref:JT",Career Edge Asia Pte Ltd - IT,"$5K+AWS + VB + allowance 5 working days, Mon – Fri, normal office hours Location: Central Industry: Manufacturing Transportation provided or state the nearest mrt stations MNC / SGX Listed Company Responsibilities Responsible for Digital Transformation projects for process improvement and involved in business processes analysis to gather reporting and dashboard requirements Translate business requirements into technical specifications and develop data download from multiple data sources Develop a deployment test plan and ensure a successful transition to the business team Provide technical support to ensure the availability and performance of developed reports and dashboards for users Design and implement technology best practices with given guidelines Requirements Degree in Information Technology or Business Analytics Experience working with users in requirements gathering &amp; analysis role Understanding of data integration issues (validation and cleaning), familiarity with complex data and structures Understand the concept of a digital control tower (Visibility, Alerts, Analytics &amp; Autonomous) Experience with Blue Prism, UFT, Power BI, Power Apps, Automated Flow, and other RPA tools Experience in Microsoft SQL, Post SQL, stored procedures, SSRS, SSIS Job package, Python Competitive remuneration package will be offered to the shortlisted candidate. Interested candidates, please send your updated CV in MS Words format stating your last drawn salary, expected salary, notice period and reason for leaving last / past employment(s) and email to recruit21(at)caed.com.sg or refer to https://www.caed.com.sg/job-opportunities/business-data-analyst-powerbi-sql-no-exp-5kawsvb-refjt/ for priority processing . To find out more job opportunities, visit https://www.caed.com.sg/job-opportunities/ Please connect us via LinkedIn as follows for efficient messaging: https://www.linkedin.com/in/career-edge-asia-pte-ltd-558a18139/?originalSubdomain=sg Do Join us at TELEGRAM by searching “CAREER EDGE JOB OPPORTUNITIES” to receive fast job alert! Attn: Jace Tay (Registration No.: R1331152) CAREER EDGE ASIA PTE LTD EA Licence Number: 13C6678 To find out more job opportunities, visit Career Edge Asia at www.caed.com.sg for all job listings.",https://www.jobstreet.com.sg/en/job/business-data-analyst-powerbi-sql-no-exp-%245k-aws-vb-ref%3Ajt-10525402?jobId=jobstreet-sg-job-10525402&sectionRank=10&token=0~23e38577-afa3-4d8a-adb7-6686ed1d0e46&fr=SRP%20Job%20Listing
