,Title,Company,Description,URL
0,"Data Engineer (ETL-ELT-Oracle/CBD/Up to $7,000)",Good Job Creations (Singapore) Pte Ltd,"[Order Number: 2302-64386 ] Job Brief We are looking for Data Engineer to join our team of analytics experts. The hire will be responsible for expanding and optimising data and data pipeline architecture, as well as optimising data flow and collect for cross-function teams. Data Engineer will develop, construct, test and maintain analytical data warehouse and build up data pipelines based on business requirements. Data Engineer will design, develop, deploy and continuously improve ETL/ELT tasks and be involved in data preparation for descriptive and prescriptive modelling. Data Engineer requires the ability to understand database infrastructure and schema designing and perform optimisation. Data Engineer will design, develop, review and optimize the core database store procedures in batch job scripts and java scripts. Responsibilities Develop, construct, test and maintain data architectures such as databases, data warehouses and large-scale data processing systems. Design and develop data pipelines/systems for data modelling, mining and production Ensure the data architecture is in place to support routine and ad-hoc requirements of data analytics team, stakeholders and the business Leverage on variety of programming languages and data crawling/processing tools to make raw data clean and highly available for use in descriptive and predictive modelling. Recommend and implement ways to improve data quality, reliability, flexibility and efficiency. Ensure data assets and data catalogs are organized and stored in an efficient way so that information is easy to access and retrieve. PL/SQL and SQL Tuning and optimization of newly develop and existing applications Requirements At least 3 years' working experience in data architecture, data warehousing, data processing, data modelling and ETL/ELT At least 3 years' work experience in database development (Oracle SQL/PLSQL) Working experience in AWS cloud environment, familiar with solutions such as EC2, S3, EMR, Redshift, Athena, Kinesis Advanced programming knowledge in Java, Hadoop, HDFS, Apache Airflow, Apache Spark, Scala, Hive, Pig Hands-on experience in data crawling, data modeling, data lake formation and data warehouse construction Hands-on experience in collecting and massaging structured/unstructured/semi-structured data Programming knowledge in Python, R, SQL for data cleaning, processing and aggregation Basic knowledge of Oracle database architecture Ability to build thorough algorithms and deploy machine learning &amp; statistical models will be a plus. Be proactive in work. Strong communication skills Excellent time management skills Team player To Apply, please kindly email your updated resume to CV_Edward(at)goodjobcreations.com.sg We regret that only shortlisted candidates will be notified. However, rest assured that all applications will be updated to our resume bank for future opportunities. EA Personnel Name: Lim Shen Chee EA Personnel Reg. no.: R1660557 EA License no.: 07C5771",https://www.jobstreet.com.sg/en/job/data-engineer-etl-elt-oracle-cbd-up-to-%247-000-10532533?jobId=jobstreet-sg-job-10532533&sectionRank=1&token=0~6d4f9451-d53b-46a8-a927-0e575f25771d&fr=SRP%20Job%20Listing
1,"Data Engineer (BOM Structure, EPR/SAP) PX",TRUST RECRUIT PTE. LTD.,"Job Responsibilities Create and maintain BOM structure in SAP. Create documents using Microsoft Office (Excel, Access, etc) to manage products' materials and drawings. Enhance BOM structure and drawing system to increase productivity and mitigate human error. Assist in setting up new BOM lineup in SAP and drawing system. Job Requirements ITE / Diploma in Engineering. 1 to 3 years related experience. Knowledge in ERP system, SAP preferred. Experience in BOM structure. Able to read basic mechanical drawing. Good MS Excel and Access skills. Self-motivated and is a teamwork player HOW TO APPLY: Interested applicants, kindly send your resume in MS WORD format to ref21#trustrecruit.com.sg or please click on “Apply Now” and provide the below details in your resume. We regret only shortlisted candidates will be notified. Important Note: Trust Recruit Pte Ltd is committed to safeguarding your personal data in accordance with the Personal Data Protection Act (PDPA). Please read our privacy statement on our corporate website www.trustrecruit.com.sg. Trust Recruit Pte Ltd EA License No: 19C9950 EA Personnel: Chia Fooi Xin (Peisly) EA Personnel Reg No: R22106518",https://www.jobstreet.com.sg/en/job/data-engineer-bom-structure-epr-sap-px-10531073?jobId=jobstreet-sg-job-10531073&sectionRank=2&token=0~6d4f9451-d53b-46a8-a927-0e575f25771d&fr=SRP%20Job%20Listing
2,Data Engineer ( Linux / Python / Spark / Talend / CAT 1/ Tampines ),TRUST RECRUIT PTE. LTD.,"Job Description: Be part of a team to build and maintain data systems or pipelines. Perform setup, installation, configuration, troubleshooting and/or upgrade for COTS products. Develop or implement ways to improve data warehouses, data lakes or equivalent platforms. Involve in the creation of documentations e.g. design documents, troubleshooting guides etc. Job Requirements: Knowledge and/or experience in data management or data engineering Experience with Linux commands and shell script Knowledge and/or experience in relational (including SQL) or NoSQL database (e.g. document, graph)Data / Search / Automation platforms such as Hadoop, Elasticsearch, Ansible respectively Data integration tools such as Talend, DataStage, Denodo Programming languages such as Python, Spark Microsoft Azure Cloud services such as Azure Data Factory, Azure Synapse Analytics o Analytics platforms such as Databricks, Dataiku, Data Robot Good problem-solving skills Able to work independently and as a team HOW TO APPLY: Interested applicants, please click on “Apply Now” and provide the below details in your resume. We regret only shortlisted candidates will be notified. Important Note: Trust Recruit Pte Ltd is committed to safeguarding your personal data in accordance with the Personal Data Protection Act (PDPA). Please read our privacy statement on our corporate website www.trustrecruit.com.sg. Trust Recruit Pte Ltd EA License No: 19C9950 EA Personnel: Jordan Fung Si Jong EA Personnel Reg No: R23112945",https://www.jobstreet.com.sg/en/job/data-engineer-linux-python-spark-talend-cat-1-tampines-10532574?jobId=jobstreet-sg-job-10532574&sectionRank=3&token=0~6d4f9451-d53b-46a8-a927-0e575f25771d&fr=SRP%20Job%20Listing
3,"Research Engineer II, - (Big Data &amp; IoT) (R00009221) - #JobsThatMatter #WorkNow-#JobsThatMatter | #LetsGoToWork",Nanyang Technological University,"The Energy Research Institute NTU (ERIAN) invites applications for the position of Research Engineer II. Key Responsibilities: Data Engineer (Big Data &amp; IoT) for Data fusion project Job Requirements: Masters from a reputed institute Must have a minimum 4 years of hands-on experience in building the data pipeline using Python, Kafka &amp; Spark Must have solid concepts on IoT &amp; Sensors Must have experience in pulling data from Gateways / Edge Devices Must have done minimum 2 end to end Big Data Pipeline implementations, either on cloud or on-premise Experience in configuring or developing custom code components for data ingestion, data processing, and data provisioning, using Big data &amp; distributed computing platforms such as Python Spark, and Cloud platforms such as AWS or Azure. Must have hands-on knowledge of Spark RDD, DataFrame, MLLib and Streaming API Must have solid experience in advance python programming Knowledge of Python ML will be an added advantage Proficiency in data modelling, for both structured and unstructured data, for various layers of storage Must have ability to collaborate closely with business analysts, architects, and client stakeholders to create technical specifications. Must have expertise in building the CI / CD Pipeline &amp; Automatics deployment of jobs Skills and Proficiency Solid Python Programming skills Spark, Kafka, Spark RDD, Streaming API Pandas, Numpy, MatplotLib, Scikit-learn Git-lab, CI / CD Pipeline Docker Excellent Communication Skills We regret that only shortlisted candidates will be notified. Hiring Institution: NTU In line with Singapore’s nationwide Vaccination-Differentiated Safe Management Measures (VDS), employees must be fully vaccinated to return to the workplace, unless certified to be medically ineligible. For Information on VDS, please click here.",https://www.jobstreet.com.sg/en/job/research-engineer-ii-big-data-iot-r00009221-jobsthatmatter-worknow-jobsthatmatter-%7C-letsgotowork-10532420?jobId=jobstreet-sg-job-10532420&sectionRank=4&token=0~6d4f9451-d53b-46a8-a927-0e575f25771d&fr=SRP%20Job%20Listing
4,Oracle Data Engineer -J40417,ScienTec Personnel,"Job Title: Oracle Data Engineer Job Type: Full-Time Location: Tanjong Pagar Salary up to 7k (basic) + AWS +VB We are seeking a talented Oracle Data Engineer to join our team. The successful candidate will be responsible for designing, developing, and maintaining the company's Oracle database infrastructure. Responsibilities: Design, develop, and maintain Oracle database infrastructure. Develop ETL processes to extract, transform, and load data from various sources into Oracle databases. Optimize database performance by analyzing query performance and implementing indexing strategies. Ensure data security and integrity by implementing access controls, backup, and recovery procedures. Work collaboratively with cross-functional teams to ensure data availability and accuracy. Maintain documentation related to database architecture and data models. Stay up-to-date with emerging database technologies and incorporate them into our products where appropriate. Requirements: At least 3 years of experience in Oracle database design and development Strong knowledge of Oracle database administration, including performance tuning and security. Experience with ETL tools, such as Oracle Data Integrator or Informatica. Experience with other databases, such as SQL Server or MySQL, is a plus If you are excited with this opportunity and enjoy making things happen, do apply now! OR Email your updated resume to: speytu(at)scientecpersonnel.com by quoting ""J40417"" in your email subject for faster processing. By submitting any application or resume to us, you will be deemed to have agreed &amp; consented to us collecting, using, retaining &amp; disclosing your personal information to prospective employers for their consideration. Please refer to ScienTec’s Privacy Policy https://www.scientecconsulting.com/privacy-policy for full details. If you wish to withdraw your consent, please write to us at dpo(at)scientecconsulting.com. (Note: Any resumes of job applications sent to this mailbox will not be attended as it is solely for the purpose of personal data protection related matters.) Elane Yap Theng Yu- R1989397 ScienTec Consulting Pte Ltd - 11C5781",https://www.jobstreet.com.sg/en/job/oracle-data-engineer-j40417-10529960?jobId=jobstreet-sg-job-10529960&sectionRank=5&token=0~6d4f9451-d53b-46a8-a927-0e575f25771d&fr=SRP%20Job%20Listing
5,Data Engineer | $ 6000 | 1 Year Contract (Renewable) | East,APBA TG Human Resource Pte Ltd,"Data Engineer | $ 6000 | 1 Year Contract (Renewable) | East · We are looking for a Data Engineer to put together data from a variety of sources to enable large-scale processing and analysis of complex data. · You are an experienced data wrangler who will be responsible for the design of the data model, undertaking of ETL work and design and maintenance of the databases. Responsibilities • Build and maintain scalable data pipelines and infrastructure for ingesting, processing, and storing data from various sources. • Create and manage ETL processes to transform raw data into structured formats that can be analyzed by data analysts and scientists. • Develop and maintain data warehouse architecture and design, including data modelling, schema design, and performance tuning. • Work with cross-functional teams to ensure data accuracy, consistency, and quality across different systems and data sources. • Monitor and troubleshoot data pipeline and ETL job failures and optimize performance and reliability. • Develop and maintain documentation of data pipelines, ETL processes, and data warehouse architecture. • Assemble large, complex data sets to empower exploratory and operational analytics • Identify, design and implement internal process improvements to optimize data delivery and greater scalability. • Build analytics tools that utilize the data pipelines to provide actionable insights into key business performance metrics. • Work closely with business stakeholders to assist with data-related technical issues and support their data infrastructure needs. • Recommend ways to improve data reliability, efficiency and quality. • Interpret data, analyze results using statistical techniques and provide ongoing reports by using data visualization tools . • Identify, analyse, and interpret trends, patterns, and insights in complex data sets. Requirements • Degree in Computer Science, Computer Engineering, Information Systems or other quantitative / computational discipline. • Experience in architecting or developing an enterprise data lake or data warehouse solution on cloud services. • Strong experience and track record in building data pipelines and databases • Experience in design and implementation of ETL solutions • Solid software development skills in at least one major language (e.g. Java) and scripting languages (e.g. Python). • Experience with advanced schema design and data modelling techniques such as normalization, SCD and star schemas. • Proficient in writing advanced and optimized SQL queries. • Strong project management and organizational skills supporting and working with cross functional teams in a dynamic environment. • Motivated and driven, able to work independently and a good team player as part of a multidisciplinary team Interested candidates, please send your CVs. Regret to inform that only shortlisted candidates will be notified. CEI: R1988671 EA License: 14C7275",https://www.jobstreet.com.sg/en/job/data-engineer-%7C-%24-6000-%7C-1-year-contract-renewable-%7C-east-10525989?jobId=jobstreet-sg-job-10525989&sectionRank=6&token=0~6d4f9451-d53b-46a8-a927-0e575f25771d&fr=SRP%20Job%20Listing
6,*Perm* Government Software Engineer / Data Engineer | Senior &amp; Head Available | Office Hours | Central,Cornerstone Global Partners,"Data Engineer: Be part of a team of data engineers deriving business insights from large and real-time datasets for strategic planning and operational efficiency. Responsible for the team’s projects to identify and explore suitable technologies, strategies and solutions for advanced data engineering. Maintaining a data warehouse and analytics environment, developing data integration pipelines and devising data models. Work close with stakeholders to define requirements, mine and analyse data, integrate data from various data sources, and deploy data pipelines in support of the organisation analytical needs. Software Engineer: Responsible for developing, implementing and maintaining IT applications systems. Skills required include software development, understanding of Agile principles, DevSecOps, Microservices, and Cloud-based technologies. Leading projects to identify and explore suitable technologies and solutions and designing IT application architectures to meet organizational needs. Need to be customer oriented, understand business needs and be able to communicate well with different stakeholders. Salary: $4,500 - $6,000 21 AL &amp; 14 MC Medical Coverage $120 Dental Benefit AWS VB (Up to 2 months) Permanent Staff Working Hours &amp; Days: Mon - Fri 7am - 4.30pm OR 8.30am - 6pm Location: Hampshire Requirements: Tertiary qualification in a relevant technical field Candidates with more experience might be considered for more senior roles Strong knowledge in data management, relational databases, SQL and ETL. Strong passion for empirical research and extensive experience solving analytical problems using quantitative approaches Strong analytical, communication and presentation skills to communicate complex data quality issues in a clear, precise, and actionable manner Good knowledge in statistical modelling and machine learning algorithms in data quality applications Good knowledge in data visualisation tools like Tableau, and data analysis/processing tools like Python Experience working with large and real-time datasets Experience with distributed computing for data processing (like Spark) is a plus Experience in the development of data pipelines on the cloud For Faster Response: Quote ""GovPermIT"" and Contact Ian Tham: +6593888043 *OR* Email me: ian.tham#cgptalent.com Tham Check Lam (Ian) Registration Number: R22104884 Cornerstone Global Partners (CGP) EA License No: 19C9859",https://www.jobstreet.com.sg/en/job/*perm*-government-software-engineer-data-engineer-%7C-senior-head-available-%7C-office-hours-%7C-central-10526759?jobId=jobstreet-sg-job-10526759&sectionRank=7&token=0~6d4f9451-d53b-46a8-a927-0e575f25771d&fr=SRP%20Job%20Listing
7,"Big Data Engineer, Recommendation Architecture #UrgentHire",TikTok,"Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. About The Team Our Recommendation Architecture Team is responsible for building up and optimizing the architecture for our recommendation system to provide the most stable and best experience for our TikTok users. The team is responsible for system stability and high availability, online services and offline data flow performance optimization, solving system bottlenecks, reducing cost overhead, building data and service mid-platform, realizing flexible and scalable high-performance storage and computing systems. Responsibilities - What You'll Do Design and implement a reasonable offline data architecture for large-scale recommendation systems Design and implement flexible, scalable, stable and high-performance storage and computing systems Trouble-shooting of the production system, design and implement the necessary mechanisms and tools to ensure the stability of the overall operation of the production system Build industry-leading distributed systems such as storage and computing to provide reliable infrastructure for massive data and large-scale business systems Qualifications Bachelor's degree or above in computer science, software engineering, or a related field Familiar with many open source frameworks in the field of big data, e.g.Hadoop, Hive,Flink, FlinkSQL,Spark, Kafka, HBase, Redis, RocksDB, ElasticSearch etc. Familiar with Java, C ++ and other programming languages Strong coding and trouble shooting ability TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.",https://www.jobstreet.com.sg/en/job/big-data-engineer-recommendation-architecture-urgenthire-10523794?jobId=jobstreet-sg-job-10523794&sectionRank=8&token=0~6d4f9451-d53b-46a8-a927-0e575f25771d&fr=SRP%20Job%20Listing
8,Data Engineer - TikTok #Immediate,TikTok,"Responsibilities About TikTok TikTok is the world's leading destination for short-form mobile videos. Our mission is to capture and present the world's creativity, knowledge, and moments that matter in everyday life. TikTok empowers everyone to be a creator directly from their smartphones and is committed to building a community by encouraging users to share their passion and creative expression through their videos. TikTok has offices in Beijing, Berlin, Jakarta, London, Los Angeles, Moscow, Mumbai, Sao Paulo, Seoul, Shanghai, Singapore, and Tokyo. In 2018, TikTok was one of the most downloaded apps in the world. TikTok is available worldwide for iOS and Android. Visit tiktok.com. Team Introduction The mission of the Data Platform Singapore Business Partnering (DPSG BP) team is to empower the TikTok Business with data. Our goal is to build a Data Warehouse that can cater to batch and streaming data, Data Products that provide useful information to build efficient data metrics &amp; dashboards which will be used to make smarter business decisions to support business growth. If you're looking for a challenging ground to push your limits, this is the team for you! Translate business requirements &amp; end to end designs into technical implementations and responsible for building batch and real-time data warehouse Manage data modeling design, writing, and optimizing ETL jobs Collaborate with the business team to building data metrics based on data warehouse Responsible for building and maintaining data products Involvement in rollouts, upgrades, implementation, and release of data system changes as required for streamlining of internal practices Qualifications At least 5 years in software engineering and 2 years of relevant experience in data engineering Proficient in creating and maintaining complex ETL pipelines end-to-end while maintaining high reliability and security Familiar with data warehouse concept and have production experience in modeling design Familiar with at least 1 distributed computing engine (e.g. Hive, Spark, Flink) Familiar with at least 1 NoSQL database is a plus (e.g. HBase) Excellent interpersonal and communication skills with the ability to engage and manage internal and external stakeholders across all levels of seniority Strong collaboration skills with the ability to build rapport across teams and stakeholders",https://www.jobstreet.com.sg/en/job/data-engineer-tiktok-immediate-10524707?jobId=jobstreet-sg-job-10524707&sectionRank=9&token=0~6d4f9451-d53b-46a8-a927-0e575f25771d&fr=SRP%20Job%20Listing
9,Big Data Engineer - Recommendation Architecture #Immediate,TikTok,"Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. About The Team Our Recommendation Architecture Team is responsible for building up and optimizing the architecture for our recommendation system to provide the most stable and best experience for our TikTok users. The team is responsible for system stability and high availability, online services and offline data flow performance optimization, solving system bottlenecks, reducing cost overhead, building data and service mid-platform, realizing flexible and scalable high-performance storage and computing systems. Responsibilities What You'll Do Design and implement a reasonable offline data architecture for large-scale recommendation systems Design and implement flexible, scalable, stable and high-performance storage and computing systems Trouble-shooting of the production system, design and implement the necessary mechanisms and tools to ensure the stability of the overall operation of the production system Build industry-leading distributed systems such as storage and computing to provide reliable infrastructure for massive data and large-scale business systems Qualifications Bachelor's degree or above in computer science, software engineering, or a related field Familiar with many open source frameworks in the field of big data, e.g. Hadoop, Hive, Flink, FlinkSQL, Spark, Kafka, HBase, Redis, RocksDB, ElasticSearch etc. Familiar with Java, C ++ and other programming languages Strong coding and trouble shooting ability Willing to challenge questions that have no obvious answers, and have a strong enthusiasm for learning new technologies Experience of Peta Byte level data processing is a plus At least 3 years of relevant experience TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.",https://www.jobstreet.com.sg/en/job/big-data-engineer-recommendation-architecture-immediate-10524543?jobId=jobstreet-sg-job-10524543&sectionRank=10&token=0~6d4f9451-d53b-46a8-a927-0e575f25771d&fr=SRP%20Job%20Listing
