,Title,Company,Description,URL
0,Data Analyst,INTEGRATED HEALTH INFORMATION SYSTEMS PTE. LTD.,"The is a new Business Analyst role to perform business analyst work for C3 - Healthcare Command, Control and Communication (C3) System's extension. He / She will be working with the C3 vendors to gather the requirements, perform data analysis, conduct UAT and support the project Go-Live.
Role and Responsibilities
Obtain and confirm the Budgetary Quotations from the source systems and vendors
Review and critique vendors’ quotations
Write funding / requirement approval papers
Review the data designs, ETL design, table designs and perform data analysis
To ensure the interface specifications meet the IHiS data governance, guidelines and policies
Monitor the data deliverables and ensure timely availability of data for development, UAT and production
Plan and coordinate end-user training for any system implementations / enhancements / Change Requests (CRs)
Manage vendors to achieve Key Performance Indicators / Service Level Agreements and reviews of contractual Terms & Conditions (when necessary)
Assist manager in formulating application implementation strategies / best practices
Identify data and business gaps within organization’s information systems by analyzing existing systems and workflows.
Recommend effective and cost saving solutions
Support positive project-vendor relationships and resolve conflicts
Support the team in defining project requirements, tracking and documentation
Manage and track project risk and issues
For each project, support the following tasks:
Develop an application Project Charter / variation charter for source system's integration and Module Schedule
Develop risk assessment and mitigation plans
Work closely with other source systems to assess the impact and dependencies
Review project progress and ensure that the project meet the project milestones on time
Review plan, conduct and co-ordinate the data UAT by working with the end-users
Assist the managers and users to sign-off the deliverables
Ensure audit conformance throughout the project life cycle
Prepare post implementation review
Requirements / Qualifications
At least 6 years’ experience in IT Projects
Solid working experience of Business Analyst’s roles and responsibilities
Has involved in at least 2 medium to large scale projects as Business Analyst
At least 2 years’ experience in vendor managed projects
Experience in all phases of project lifecycle
Experience in budgeting (costing, cost evaluation analysis etc.)
Experience in various procurement methodology e.g. RFQ, RFP etc.
Experience in writing approval papers
Must have the knowledge and experience to perform root cause analysis",https://www.mycareersfuture.gov.sg/job/information-technology/data-analyst-integrated-health-information-systems-ffc25439caeeb96317cf347945925753?source=MCF&event=Search
1,Data Analyst,PAN-UNITED CORPORATION LTD.,"Job Responsibilities:
Analyze raw data: assessing quality, cleansing, structuring for downstream processing
Design accurate and scalable prediction algorithms
Create predictive, prescriptive and/or explanatory models
Generate actionable insights for business improvements
Research and understand the latest technologies to define new process improvement opportunities

Job Requirements:
Bachelor's degree in Computer Science/ Information Technology or equivalent
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
Proficient in a programming language (Python, Java, SQL)
Experience/Knowledge in Operation Research (OR) is would be an advantage
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Additional experience in data visualization and/or knowledge of reinforcement learning is a plus",https://www.mycareersfuture.gov.sg/job/information-technology/data-analyst-pan-united-corporation-000d4ea451f7a48d9af53307137c1ea7?source=MCF&event=Search
2,22600217 Senior Data Analyst,CITIBANK N.A.,"Job Description
The Data Governance Lead Analyst is a strategic professional who stays abreast of developments within own field and contributes to directional strategy by considering their application in own job and the business. Recognized technical authority for an area within the business. Requires basic commercial awareness. There are typically multiple people within the business that provide the same level of subject matter expertise. Developed communication and diplomacy skills are required in order to guide, influence and convince others, in particular colleagues in other areas and occasional external customers. Significant impact on the area through complex deliverables. Provides advice and counsel related to the technology or operations of the business. Work impacts an entire area, which eventually affects the overall performance and effectiveness of the sub-function/job family.

Responsibilities:
Designs/analyzes complex reports to satisfy management requirements.
Deals with complex and variable issues with substantial potential impact.
Uses broad discretion in developing solutions for broad based business reporting issues.
Leads reengineering efforts in business's methodology, strategy, and organizational goals.
Manages resource allocation and leads the work within a team/project to develop solutions for business reporting issues.
Applies/demonstrates advanced understanding of processes, procedures, and policies for area supported. Possesses a comprehensive understanding of how own area and others collectively integrate to contribute towards achieving business objectives.
Acts as advisor or coach to new or lower level personnel in the business processes and procedures of area supported.
Provides in-depth and sophisticated analysis with interpretive thinking to define problems and develop innovative solutions.
Influences strategic functional decisions through advice, counsel or provided services that have direct impact on the business.
Persuades and influences others through developed communication and diplomacy skills with colleagues in other areas and occasional external customers.
May be responsible for resource management and allocation of work within the team/project.
Requires basic commercial awareness.
Develops communication and diplomacy skills are required in order to guide, influence and convince others, in particular colleagues in other areas and occasional external customers.
Deals with complex and variable issues with substantial potential impact, where development of an approach/taking of an action involves weighing various alternatives and balancing potentially conflicting needs.
Requires good analytical skills in order to filter, prioritize and validate potentially complex material from multiple sources. Exercises wide degree of latitude and discretion.
Provides advice and counsel related to the technology or operations of the business.
Handles day-to-day staff management issues, including resource management and allocation of work within the team/project.
Responsible for handling day-to-day staff management issues, including resource management and allocation of work within the team/project.
Gathers and synthesizes existing data governance principles, policies, practices and standards, e.g. understanding industry best practices.
Produces recommendations for enterprise-wide guiding principles, policies, processes and practices.
Determines requirements for and prioritize development of new enterprise-wide principles, policies, processes and practices as needed.
Develops and manages approach for measuring adoption of principles, policies, processes and practices.
Manages relationship with key business leaders and influential subject matter experts within specific lines of business to drive efforts to measurable successful conclusion.
Prepares executive/management level reporting and other regulator-required updates.
Acts as a change agent and collaborator, partnering with LOBs, Global Functions, and CDO team to establish enterprise wide data governance programs.
Processes mapping, modeling, and line of business policies and practices.
Performs other duties and functions as assigned.
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
6-10 years relevant experience
Demonstrated Data Analyst skillset
Advanced understanding of Project management methodologies and tools
Senior level experience in a related role.
Subject matter expert in at least one related area.
Ability to monitor tight deadlines or unexpected requirement changes
Education:
Bachelor’s/University degree or equivalent experience, potentially Masters degree",https://www.mycareersfuture.gov.sg/job/banking-finance/22600217-senior-data-analyst-citibank-na-404dbe15f091fc1d7706c22bced10f71?source=MCF&event=SuggestedJob
3,Data Analyst,PAN-UNITED TECHNOLOGIES PTE. LTD.,"Job Responsibilities:
Analyze raw data: assessing quality, cleansing, structuring for downstream processing
Design accurate and scalable prediction algorithms
Create predictive, prescriptive and/or explanatory models
Generate actionable insights for business improvements
Research and understand the latest technologies to define new process improvement opportunities
Job Requirements:
Bachelor's degree in Computer Science/ Information Technology or equivalent
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
Proficient in a programming language (Python, Java, SQL)
Experience/Knowledge in Operation Research (OR) is would be an advantage
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Additional experience in data visualization and/or knowledge of reinforcement learning is a plus",https://www.mycareersfuture.gov.sg/job/information-technology/data-analyst-pan-united-technologies-fe506b35d67dcf88cae8877946192d9d?source=MCF&event=Search
4,Data Analyst (Finance),ADVANCED MEDTECH CORPORATE PTE. LTD.,"This is a regional position within the Finance department and you will be responsible for organizing data related to sales numbers and financials reporting activities of various legal entities. In this role, you will work closely with various stakeholders to prepare internal reports for executive leadership to support their decision making. You need to be self-driven and be confident enough to propose the most appropriate approach to fulfill the business and accounting requirements. Additionally, you need to constantly reassess the existing way of doing things and to come up with suggestions to further improve the business processes.
Job Responsibilities
Using automated tools to extract data from primary and secondary sources for business analytical requirements
Developing and maintaining databases, data systems – reorganizing data in a readable format
Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and prediction
Preparing and analyze reports for the management stating trends, patterns, and predictions using relevant data
Build solutions utilizing technologies including PowerBI, with a variety of data sources on-premise such as Infor Syteline, SQL Server, COGNOS and SalesForce
Job Requirements
Degree holder in Business Analytics, Information Technology, Data Science or Computer Science with Accounting knowledge
2 years of working knowledge of data mining principles: mapping, collecting data from multiple data systems on premises and cloud-based data sources
2 years of work experience developing and managing data products from ingestion to operations
2 years of experience supporting data analytics solutions
Self-driven, highly motivated and open-minded to change
Possesses strong analytical and problem-solving skill
Able to work under high pressure and prioritize with a heavy workload and multiple deadlines
In-depth understanding of and experience in designing structured and unstructured, SQL and No SQL data repositories
Strong knowledge about data modeling
We regret that only shortlisted applicants will be notified.",https://www.mycareersfuture.gov.sg/job/healthcare/data-analyst-advanced-medtech-corporate-e136f14252e0ba54983900c3f2415a9f?source=MCF&event=Search
5,Senior Data Security Analyst,APAR TECHNOLOGIES PTE. LTD.,"JOB DUTIES –
· This role is for a Digital Forensics Analyst. Anyone working within the Digital Forensics team can expecting the following:
· Utilising your extensive Digital Forensics and Incident Response experience to conduct and manage your individual caseload across the entire incident response or investigative lifecycle from start to finish;
· Discovering unfamiliar technology or data during the midst of an incident or investigation and assessing its relevance to the issues at hand, i.e. stored information, auditing capability, evidential value etc.;
· Leveraging upon your ability to communicate, both written and verbal, in a clear, concise and inclusive manner to technical and non-technical audiences with colleagues, peers and stakeholders at all levels;
· Embracing new and upcoming technologies and assessing how they could apply and improve on the way in which the team responds to incidents;
· Working alongside a global team with colleagues in the USA and Europe, whilst placing emphasis on collaboration and sharing of ideas and methodologies;
· Undertaking and sharing the responsibilities of working an on-call schedule so that the bank is well placed to respond to incidents or investigations when required.
· This role is open to individuals with the following backgrounds:
Candidates with experience ranging from 3 years to 7 years of experience
· Identify, analyse and present evidential data from workstation orientated systems, including but not limited to systems installed with Microsoft Windows; and
· Such candidates will have experience in investigating specific facets or workstreams of various incident scenarios/investigations as part of a broader DFIR/investigative team; and
· This particular type of candidate will have amassed some form of generalist or broad knowledge in computing and networking, together with at least a generalist understanding of information security technologies, techniques and processes. The candidate may also have led or started to lead a limited amount of incident scenarios/investigations from commencement to cessation, though not a requirement.
· Candidates with experience ranging from 8 years to 10 years of experience
· Identify, analyse and present evidential data from a wide range of enterprise systems for a wide range of incident or investigative scenarios; and
· Such candidates will have experience in investigating and leading various incident scenarios/investigations as part of a broader DFIR/investigative team from commencement to cessation; and
· This particular type of candidate will be able to draw upon their well versed knowledge in computing and networking, together with information security technologies, techniques and processes. The candidate may also have initiated or driven initiatives to transform, evolve or upgrade incident scenarios/investigations processes and/or technologies.


EA License No: 11C4879 / Registration ID : R1218583
Apar Technologies Pte Ltd, Singapore",https://www.mycareersfuture.gov.sg/job/information-technology/senior-data-security-analyst-apar-technologies-55f80c3d849e9803f18d622327e0ca27?source=MCF&event=Search
6,Business Analyst- Data warehouse / ODS,EXASOFT PTE. LTD.,"Work closely with business users to gather, translate and document user and data requirements in BRD
Provide inputs on source data extraction criteria
Create Excel macros to execute data validation on Excel data sources
Provide rules for standardization across multiple data sources
Write and execute SIT test cases and test scripts.
Provide support for UAT and PROD implementation
Takes accountability in considering business and regulatory compliance risks and takes appropriate steps to mitigate the risks.
Maintains awareness of industry trends on regulatory compliance, emerging threats and technologies in order to understand the risk and better safeguard the company.
Highlights any potential concerns /risks and proactively shares best risk management practices.",https://www.mycareersfuture.gov.sg/job/information-technology/business-analyst-data-warehouse-ods-exasoft-29fd6ba54e1d36e7872fddae86e770d4?source=MCF&event=Search
7,Junior Data Analyst,ARYAN SOLUTIONS PTE. LTD.,"Key Roles & Responsibilities:
Purpose
● Place client value and human experience at the center of everything we do
● Develop and deliver value to clients by building large scale enterprise data pipelines to capture, transform and store date to support reporting, automated systems and AI/ML

Team
● Be a part of a world-class team of experts in Data engineering
● Be a part of a culture of excellence and with confidence, charisma, context, and humility, working effectively at all levels

Delivery
● Delivery of data pipelines to drive material impact and drive disruptive transformation across our clients in public and private sectors
● Support thought leadership development as a team for data engineering and scaling deployments

Partnership
● Work with client’s ecosystem of partners to deliver client value
● Adopt a cloud-first strategy to enhance agility and elasticity by partnering with vendors to support specific public sector needs

Requirements & Qualifications:
● Bachelor’s Degree/Masters Degree in computer science or any engineering discipline
● Minimum 3 years of designing, building and operationalizing data solutions and applications (with batch or streaming data)
● Excellent understanding on SQL data storage structures and storage/query optimizations
● Mastered SQL querying to build any data presentations using joins, reference tables, groupings, statistics etc.
● Proficiency in BI skills, including experience in generating reports, dashboards and other business intelligence outputs
● Proficiency with Qlik strongly preferred
● Proficient in at least one core language: Python, Scala, Java
● Exposure to concepts like Serverless computing, CI/CD, Containerization, Infrastructure as Code, code version control and automated testing
● Exposure to one of more of cloud services like AWS, Azure or GCP
● Strong ability to communicate with a broad range of clients, colleagues, and partners across a variety of contexts and formats.
● Strong ability to develop and maintain relationships amongst clients, colleagues, and partners
● Show active tracks of improving knowledge and skills (e.g. courses, podcasts, books, experimentation, open source volunteering, tech meetups etc.)
● Ability to work independently with minimal guidance
● Ability to work as part of a large team
● Ability to work within an unstructured environment with ability to multitask well",https://www.mycareersfuture.gov.sg/job/information-technology/junior-data-analyst-aryan-solutions-b705cd3011c7176db6b0353aae455579?source=MCF&event=Search
8,Data Analyst,AMT PTE. LTD.,"Job Description:
Advocate and enhance existing tools, and exploit areas of automation, analytic and modern endpoints.
Responsible for identifying, developing, and implementing solutions to digitalize business process flow and improves operational efficiency
Act as intermediary between key stakeholders, vendors, and end users to achieve the company digital roadmap’s goals on financial analyst.
Facilitate and review KPIs of digital transformation to assess fiance projects progress
Build and maintain data visualization / dashboards / reports
Support finance on budget, reporting and forecast
Other ad-hoc duties as assigned
Job Requirements:
Bachelor's degree or higher in Computer Sciences, Information Technology or equivalent
Preferably 3 years of related work experience in business process improvement and financial analyst project
Proficient with at least one of the programming languages or database languages such as Python, JavaScript or PowerShell, SQL (MYSQL, PostgreSQL) etc.
Preferably knowledge in data visualization software such as Power BI, Tableau or Qlik
Strong analytical, conceptualisation and problem-solving skills
Good communication skills (verbal and written) with the ability to pitch ideas and influence
Comfortable working in an agile environment
Self-starter, rapidly learn new skills and new technologies; able to plan, organize work priorities for self or team with little oversight
Demonstration of holistic cross-content analysis and other considerations in decision-making",https://www.mycareersfuture.gov.sg/job/information-technology/data-analyst-amt-197b26d67760c0719f466c179f27c8d3?source=MCF&event=Search
9,Data Analyst,KEYRUS SINGAPORE PTE. LTD.,"Keyrus is an international consulting firm, specializing in the integration of data intelligence and Digital solutions. With over 3000 employees spread across 20 countries, Keyrus continues to deliver on such projects to a wide range of clients from various industries including but not limited to Banking/Finance, Healthcare/pharmaceuticals, FMCG, Oil & Gas, and more.

As part of Keyrus’ solution delivery, we are also in a position to recruit and place technical consultants to complement on existing client projects with their expertise. As such, we seek innovative and agile people to support ambitious and forthcoming technological challenges.
The team in Singapore is currently looking for several Data Analysts (Power BI), in order to support our client activities.

Main responsibilities

-Develop automated reports and dashboards using BI tools such as Power BI
-Should have an edge over making DAX queries in Power BI desktop.
-Connect to multiple datasets to bring all the relevant data together in one place and create reports that provide a consolidated view of the different sources
-Creating Power BI reports that represent different findings & insights from the data using interactive charts and maps.
-Work with both functional and technical project personnel, providing in-depth knowledge of BI information delivery/presentation methodology
-Document processes and ensure they are properly followed
-Elaborating project documentations (Design documents, deployment guide etc.)
-Maintenance of existing BI projects Interacting and providing reporting to project managers / managers
-Ensure high standard delivery to production
-Proposing solutions for regarding continuous improvement
-Provide investigation help while fostering knowledge and sharing best practices with team members

Qualifications and Profile

Mandatory

-At least 2/5 years in data analytics & BI development with knowledge of scripting, data source integration and advanced development in Power BI, experience with PowerAutomate preferable.
-Familiar with any tracking tool like Jira
-Strong BI modelling skills using Analysis services with the ability translate reporting needs to a BI model which can serve the report as well as adhoc analytics",https://www.mycareersfuture.gov.sg/job/consulting/data-analyst-keyrus-singapore-f3f096a64d132135026273b1168e913b?source=MCF&event=Search
