,Title,Company,Description,URL
0,Data Engineer with AWS,MICHAEL PAGE INTERNATIONAL PTE LTD,"Creative and Innovative Workplace
Opportunity to learn and grow
About Our Client
Our esteemed client is one of the well-known, well-established brands in the insurance domain. They bagged two more awards last year cementing their position as a leaders in Singapore ! With customers at the heart of what they do, they are shifting from being an insurance company to being a technology-empowered, financial services partner for their customers!
Job Description
Development of new data management layers and build data processes
Solutioning and tech designing for Data Systems
Tech lead to drive data engineering activities
Provide support for enhancements and any BAU issues on the new data management layers and existing data lakes
Support and migration of existing on-premises databases to AWS cloud.
Understanding the existing applications, data architecture, and suggest improvements
Lead business requirements and plan deliveries
Handle data extractions and data analysis for the requirements
The Successful Applicant
Atleast 10 years of experience with Information Technology using RDBMS and Non-RDBMS and Cloud databases
Atleast 8 years of strong hands-on experience on any of the databases like SQL/PLSQL, Oracle, MS-SQL server, Postgres, and Snowflake
Atleast 3 years of strong experience in AWS Cloud
Good understanding of Data integration, Data Flows, Data Quality, Data Architecture and Data Engineering
Technical expertise in data models, data mining and segmentation techniques
Experience in Tech Design and Solution Designing for data systems
Experience with full SDLC lifecycle and Lean or Agile development methodologies
AWS tools and components knowledge is good to have
CI/CD and GIT exposure
Experience on UNIX shell scripts
What's on Offer
Creative and Innovative Workplace
Opportunity to learn and grow
Good work culture",https://www.mycareersfuture.gov.sg/job/insurance/data-engineer-aws-michael-page-international-8262c1c92ad3c74427c162814ed764e7?source=MCF&event=Search
1,Data Engineer,BASIL TECHNOLOGIES PTE. LTD.,"What will you do?
· Develop data processing pipelines for ingestion, modelling, analysis, mining and reporting with Enterprise Big Data Lake
· Responsible for the code writing of the core module of the system
· Develop POC and build data pipeline architecture using of the overall technical framework of the software
· Work closely with teams ensure timely delivery of assignments
What do you need to succeed?
· Possess good communications skills to understand our customers' core business objectives and build end-to-end data centric solutions to address them
· Good critical thinking and problem-solving abilities
Must-have:
· Experience building large scale enterprise data pipelines using commercial and/or open source Big Data platforms from vendors such as Hortonworks/Cloudera, MapR, for Hadoop based platforms or NoSQL platforms such as Cassandra, HBase, DataStax, Couchbase, Elastic Search, Neo4j etc
· Hands on experience in Spark, Scala, Impala, Hive SQL, Apache Nifi necessary to build and maintain complex queries, streaming and real-time data pipelines
· Data modelling and architecting skills including strong foundation in data warehousing concepts, data normalisation, and dimensional data modelling such as OLAP",https://www.mycareersfuture.gov.sg/job/information-technology/data-engineer-basil-technologies-dc31ae8dc930f163c94774d284718f9f?source=MCF&event=Search
2,Data Engineer,OKBL PTE. LTD.,"About OKX
OKX is a leading crypto trading app, and a Web3 ecosystem. Trusted by more than 20 million global customers in over 180 international markets, OKX is known for being the fastest and most reliable crypto trading app of choice for investors and professional traders globally.
Since 2017, OKX has served a global community of people who share a common interest in participating in a new financial system that is designed to be a level playing field for everyone. We strive to educate people on the potential of crypto markets and how to invest Beyond the OKX trading app, our Web3 wallet, known as MetaX, is our latest offering for people looking to explore the world of NFTs and the metaverse while trading GameFi and DeFi tokens.
About the team:
OKX data team is responsible for the whole data scope of OKG, from techincal selection, architecture design, data ingestion, data storage, ETL, data visualization to business intelligence and data science. We are data engineers, data analysts and data scientists. The team has end-to-end ownership of most of the data at OKx throughout the whole data lifecycle including data ingestion, data ETL, data warehouse and data services. As a data engineer of the team, you will work with the team to leverage data technologies to empower evidence-based decision-making and improve the quality of the company's products and services.
Responsibilities:
Design and build resilient and efficient data pipelines for both batch and real-time streaming data
Architect and design data infrastructure on cloud using industry standard tools
Execute projects with an Agile mindset
Build software frameworks to solve data problems at scale
Collaborate with product managers, software engineers, data analysts and data scientists to build scalable and data-driven platforms and tools
Ensure data integrity and scalability through enforcement of data standards. Improve data validation and monitoring processes to proactively prevent issues and quickly identify issues. Drive resolution on the issues.
Define, understand, and test external/internal opportunities to improve our products and services.
Requirements:
Bachelor’s Degree in Computer Science or have equivalent professional experience
Solid Experience with data processing tools such as Spark, Flink
Solid Experience implementing batch and streaming data pipelines
Solid experiences in Python/Go/Scala/Java.
In-depth knowledge of both SQL and NoSQL databases, including performance tuning and troubleshooting
Familiar with DevOps tools such as Git, Docker, k8s
Experience with the cloud (e.g. AWS, Ali Cloud, GCP, Azure)
Be proficient in SQL, familiar with advanced SQL features such as window functions, aggregate functions and creating scalar functions/user-defined functions.
Proven successful and trackable experience in full end-to-end data solutions involving data ingestion, data persistence, data extraction and data analysis.
Self-driven, innovative, collaborative, with good communication and presentation skills
Fluent in English, both written and spoken.
Preferred Qualifications:
Experience in FinTech, eCommerce, SaaS, AdTech, or Digital Wallet business industries.
Experience in working with teams across offices and timezones is a plus.
Experience in big data tools such as Amplitude/Tableau/QlikView, Ali Cloud DataWorks, MaxCompute, Hadoop, Hive, Spark and HBase is a big plus.",https://www.mycareersfuture.gov.sg/job/banking-finance/data-engineer-okbl-7b796d4ad6a29675e594917739e3e50d?source=MCF&event=SuggestedJob
3,Senior Data Engineer,GOVERNMENT TECHNOLOGY AGENCY,"The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies.

Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering.
As a Senior Data Engineer in the Data Engineering team of GovTech’s Data Science and Artificial Intelligence Division, you will be building Whole-of-Government data infrastructure to power the insights needed for evidence-based decision-making and enhancing agencies’ service-delivery. You will be architecting, designing and building next-generation data infrastructure to galvanise digitalisation in the public sector. You will be given opportunities to lead other engineers to drive impact at scale.

We are looking for enthusiastic and passionate engineers to join us in this journey to make a difference.


What you will be working on:
Design and build resilient and efficient data pipelines for both batch and real-time streaming data
Architect and design data infrastructure on cloud using industry standard Infrastructure-as-Code tools
Execute projects with an Agile mindset
Build software frameworks to solve data problems at scale
Collaborate with product managers, software engineers, data analysts and data scientists to build scalable and data-driven platforms and tools
Be put in the driving seat as an engineering leader

What we are looking for:
Bachelor’s Degree in Computer Science or have equivalent professional experience
Have more than 4 years of experience in a technical role
Experience with data processing tools such as Spark, Beam, Flink
Experience with the cloud (e.g. AWS, GCP, Azure)
Experience implementing batch and streaming data pipelines
Experience writing efficient SQL
In-depth knowledge of both SQL and NoSQL databases, including performance tuning and troubleshooting
Familiar with DevOps tools such as Git, Docker, Terraform
Experience in the public sector is a bonus
Previous technical leadership experience is a bonus

We are an equal opportunity employer and value diversity at our company as we believe that diversity is meaningful to innovation. Our employee benefits are based on a total rewards approach, offering a holistic and market-competitive suite of perks. This includes generous leave benefits to meet your work-life needs. We trust that you will get the job done wherever you are, and whatever works best for you – so work from home or take a break to exercise if you need to*. We also believe it’s important for you to keep honing your craft in the constantly-evolving tech landscape, so we provide and support a plethora of in-house and external learning and development opportunities all year round.


*Subject to the nature of your job role that might require you to be onsite during fixed hours",https://www.mycareersfuture.gov.sg/job/information-technology/senior-data-engineer-government-technology-agency-559820f5a0995dd9eb73a6d7d5c50eae?source=MCF&event=Search
4,Data Engineer,KEYTEO CONSULTING PTE. LTD.,"⇒ Qualifications & Experience
● Minimum education of Bachelors’ degree in Information Technology.
● An academic background in Computing or an Engineering-based field.
● At least 5 years' experience of working as a data engineer via organization legacy systems.
● Solid working knowledge of implementing ETL pipelines using Informatica BDM (DEI) on data warehouses and big data platforms, such as RDBMS, Informatica etc.
● Familiar with application integration with RDBMS such as Oracle, MS-SQL or MySQL. (Working knowledge of Oracle and MS-SQL will be a plus).
● Hands-on experience of using Linux (or Unix-like OS) as the development environment and familiar with shell scripts and command line tools in Linux/Unix environment.
● Experienced with the Systems Development Life Cycle implementation methodology (SDLC) and/or agile methodologies like Scrum and Kanban.
● Understand and apply the good industry practice of code versioning, testing, CICD workflow and code documentation.
● Good team player, with strong analytical skills and enjoy complex problem solving with innovative ideas.
● Strong communication/people skills required to interact with data analysts, business end-users and vendors to design and develop solutions.
● Good at working with details and is meticulous.",https://www.mycareersfuture.gov.sg/job/information-technology/data-engineer-keyteo-consulting-941df120a111ef54ad18e8ba1bd28b88?source=MCF&event=Search
5,Data Engineer,ENCORA TECHNOLOGIES PTE. LTD.,"Build and support data lake, data warehouse and data API based solutions in Singapore by using suitable technology
Document data solutions, standards, requirement specifications, and business processes
Design, develop and implement secured, reliable, cost effective and high performance ETL solutions using Python, Pyspark and Talend
Perform unit testing, design & support integration testing strategies and automate data quality monitoring
Develop good understanding of existing data sets and data model
Develop good understanding of existing solutions and be able to support and enhance them
Establish and follow best practices in code version control & deployment and help to reduce the deployment time
Monitor scheduled jobs and reduce BAU monitoring efforts by automation
Take ownership and manage timely completion of deliverables
Maintain good documentation of the solutions and effectively communicate stakeholders about the value added
Minimum 5 years of professional experience in big data, data warehousing, operational data stores, and large-scale architecture and implementations

Ability to understand and write SQL
Ability to work with SQL/NOSQL database management systems and data warehouses
Hands on experience in AWS/Azure/Google cloud services
Using distributed computing frameworks like Apache spark using python or scala
Developing data processing python programs based on Pandas and related libraries
Knowledge in orchestration tools like Apache Airflow or similar tools
Good experience in ETL tools like Talend, Informatica or DataStage
Must have stream processing frameworks like Apache Kafka or AWS Kinesis or similar frameworks
Using Change data capture systems like IBM Infosphere CDC or Attunity or AWS DMS or similar tools
Shell scripting to automate tasks",https://www.mycareersfuture.gov.sg/job/insurance/data-engineer-encora-technologies-fc3876e54f63538893ca9ae827cda386?source=MCF&event=Search
6,Senior Data Engineer,INTEGRATED HEALTH INFORMATION SYSTEMS PTE. LTD.,"We are expanding our strong data science team and are looking for talented AI practitioner with applied experience in the fields of Machine Learning and Deep learning to join us. This role is best suited for candidate that is interested in developing new AI application that has a direct and immense, real-world healthcare impact.
You need to have a deep passion for analyzing and resolving healthcare problems. You display an intellectual curiosity about the business needs as well as the capability to engage with stakeholders to understand business issues.
Critical Work Functions and Key Tasks:
Analyze data
Scope out problem definition and hypothesis for analysis for image related use case
Responsible for image analysis, synthesis and other aspects of algorithm development, including visual recognition, object detection, segmentation and medical image processing, etc.
Responsible for the exploration of cutting-edge technology in image related algorithms and ensure the technologies get successfully applied.
Design experiments to test data assumptions
Evaluate experiment outcomes to draw actionable conclusions
Deploy data models across different channels and customer platforms
Collaborative work
Partner with stakeholders to translate business problems into data science projects
Develop strategies to identify, acquire and use appropriate data sets to develop practical solutions and support decision making
Maintain an advanced knowledge of trends affecting the industry
Present insights
Synthesize findings into actionable insights
Apply data analysis, datamining and data processing to present data clearly
Provide rationale, business cases and ROI models to support investment
Requirements / Qualifications
PhD or Masters in a quantitative field such as Mathematics, Statistics, Information Technology, Physics, Engineering, Finance or equivalent
Solid research and engineering background and experience in computer vision, machine learning, and image processing/analysis algorithms.
Good experience with Python or R is prerequisite
Good experience with Deep learning framework e.g. Tensorflow, keras, Pytorch is prerequisite
Hands on experience in the development of image classification, object detection, segmentation or related is preferred.
Good experience with SQL and/or NoSQL is preferred
Preferably 5 - 7 years of relevant working experience.
Proven communication skill to explain insights from technical work to non-technical audience through presentation or other means",https://www.mycareersfuture.gov.sg/job/information-technology/senior-data-engineer-integrated-health-information-systems-166dd1e941c7a9c288cfe297a333e0b1?source=MCF&event=Search
7,Data Engineer (Senior Manager),INTEGRATED HEALTH INFORMATION SYSTEMS PTE. LTD.,"We are expanding our strong data science team and are looking for talented AI practitioner with applied experience in the fields of Machine Learning and Deep learning to join us. This role is best suited for candidate that is interested in developing new AI application that has a direct and immense, real-world healthcare impact.
You need to have a deep passion for analyzing and resolving healthcare problems. You display an intellectual curiosity about the business needs as well as the capability to engage with stakeholders to understand business issues.
Critical Work Functions and Key Tasks:
Analyze data
Scope out problem definition and hypothesis for analysis for image related use case
Responsible for image analysis, synthesis and other aspects of algorithm development, including visual recognition, object detection, segmentation and medical image processing, etc.
Responsible for the exploration of cutting-edge technology in image related algorithms and ensure the technologies get successfully applied.
Design experiments to test data assumptions
Evaluate experiment outcomes to draw actionable conclusions
Deploy data models across different channels and customer platforms
Collaborative work
Partner with stakeholders to translate business problems into data science projects
Develop strategies to identify, acquire and use appropriate data sets to develop practical solutions and support decision making
Maintain an advanced knowledge of trends affecting the industry
Present insights
Synthesize findings into actionable insights
Apply data analysis, datamining and data processing to present data clearly
Provide rationale, business cases and ROI models to support investment
Requirements / Qualifications
PhD or Masters in a quantitative field such as Mathematics, Statistics, Information Technology, Physics, Engineering, Finance or equivalent
Solid research and engineering background and experience in computer vision, machine learning, and image processing/analysis algorithms.
Good experience with Python or R is prerequisite
Good experience with Deep learning framework e.g. Tensorflow, keras, Pytorch is prerequisite
Hands on experience in the development of image classification, object detection, segmentation or related is preferred.
Good experience with SQL and/or NoSQL is preferred
Preferably 5 - 7 years of relevant working experience.
Proven communication skill to explain insights from technical work to non-technical audience through presentation or other means",https://www.mycareersfuture.gov.sg/job/information-technology/data-engineer-integrated-health-information-systems-cebf080b53b8566558e03157f727d085?source=MCF&event=Search
8,Data Engineer,CDG ZIG PTE. LTD.,"Responsibilities:
Expanding data collection as well as optimizing data pipelines for cross-functional teams
Work closely with data analysts and business end-users to implement and support data platforms
Tuning, troubleshooting and scaling identified big data technologies.
Analyse, tackle and resolve day-to-day operational incidents related to data provision
Build suitable tools to provide data through acquiring, monitoring and analyzing root cause of data issues
Identify, design, and implement process improvements and tools to automate data processing with data integrity
Work with data scientist and business analytics to assist in data ingestion and data-related technical issues
Design, build and maintain the batch or real time data pipeline in production using big data technology
Design, build and manage data warehouse such as designing data model
Create data views from big data platform to feed into analysis engines or visualization engines
Requirements:
Bachelor degree in Computer Science, Computer Engineering, Software Engineering or equivalent
At least 2 years of relevant working experience in ETL/data integration and data modelling
Experience with Data Engineering and Data Quality
Cloud experience, ideally with Azure and AWS
Understanding of Big data technologies like HDFS, Hive, Spark
Experience of relational or NoSQL database (e.g. Oracle) and using database technologies (PL/SQL, SQL)
Experience in data warehousing / distributed system
Experience in data ingestion, cleaning and processing tools
Experience in data acquiring, data processing using Scala/Python/Java
Highly organized, self-motivated, pro-active, and desire to learn new technology
Excellent communication and collaborative skills",https://www.mycareersfuture.gov.sg/job/engineering/data-engineer-cdg-zig-6da6bb4870385257e273f9c92695e4ba?source=MCF&event=Search
9,Data Engineer,PERSOLKELLY SINGAPORE PTE. LTD.,"At least 5 - 6 years’ experience in developing, implementing and maintaining IT systems

Position Summary / Project Description
ETL (Informatica BDM/DEI) with Data Model experience. He/she will co-lead ETL developers.
Role and Responsibilities
Involve in various stages of the systems development life cycle; adopting waterfall, agile or hybrid development methodology.
Performs analysis, design and development of ETL processes to support project requirements
Design and develop complex Informatica ETL mappings, sessions, workflows and maintain existing ETL/data warehouse processes.
Prepare technical design specifications based on the projects and change request assigned.
Conduct system integration testing and create test cases to ensure data quality prior to implementation.
Resolve issues raised during user acceptance testing.
Evaluate potential technical solutions and make recommendations to resolve business problems.
Work with business partners during system implementation and manage post implementation support.
Provide on-going support (24x7) to various applications running in the data warehouse if required.
Technical Skills:
ETL: Informatica Data Engineering Integration/Big Data Management, Informatica Powercenter, SAP BODS
Business Intelligence: Oracle Business Intelligence (OBIEE), Tableau
Databases: Oracle, Microsoft SQL Server, Teradata

Degree in Computer Science, Information Technology, Computer Engineering or equivalent.
Technical skills in order of priority: Informatica BDM/DEI, Informatica PowerCenter, Strong SQL, Oracle, SQL Server and Teradata Experience.
Minimum Seven (7) to eight (8) years’ experience in ETL Development and Data Integration.
Strong analytical and problem solving skills.
Strong understanding of ETL Development best practices, strong understanding of Data Lake and Warehouse Concepts, Performance Tuning in SQL and Informatica
Proven ability to work independently in a dynamic environment with multiple assigned projects and tasks.
Outstanding ability to communicate, both verbally and in writing.
Ability to develop complex mappings and workflows in accordance with requirements
Exposure to hospital information / clinical systems is an added advantage.
Experience in using business intelligence tools (e.g. OBIEE, Tableau, etc.) is an added advantage.
Experience in Vendor Management is an added advantage.

Please note: Only shortlisted candidates will be contacted

EA Registration No. R1871815 (Saravanan)

EA License No. 01C4394

**By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its local and overseas subsidiaries and affiliates collecting, using and disclosing your personal data to prospective employers/companies based in any country for purposes of evaluating suitability for employment, conducting reference checks, administering employment related services, complying with Government’s COVID-19 health advisories and such other purposes stated in our privacy policy. Our full privacy policy is available at www.persolkelly.com.sg. If you wish to withdraw your consent, please drop us an email to let us know. Please feel free to contact us if you have any queries.**",https://www.mycareersfuture.gov.sg/job/information-technology/data-engineer-persolkelly-singapore-a7a86e1333dff4e9ae67cd88306f5ac9?source=MCF&event=Search
