,Title,Company,Description,URL
0,Data Science,AMPLIFY HEALTH ASIA PTE. LIMITED,"Instructions for interested applicants
https://aia.wd3.myworkdayjobs.com/amplifyhealthexternal/job/Singapore-SG-Amplify-Health/Data-Science_JR-36535

What you will do?

We are looking for a Data Scientist as part of our Machine Learning Team. The ideal candidate will leverage strong collaboration skills and ability to extract valuable insights from highly complex medical & insurance data sets to ask the right questions and find the right answers. You will have great opportunity to work with Data Scientist to understand and learn about how we can leverage AI/ML in the health insurance & medical field to detect fraud & waste, improve automation efficiency & promote vitality.

Duties and Responsibilities
• Analyze raw data: assessing quality, cleansing, structuring for downstream processing
• Be heavily involved to bring analytical prototypes to production with the data engineering & dev-ops teams
• Become a subject-matter expert in the health & insurance domain
• Generate actionable insights for business improvements
• Help to develop customizable reports / production-ready dashboards for clients

Requirements
• Bachelor's degree or equivalent experience in quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.)
• At least 1 - 2 years' of experience in quantitative analytics or data modeling
• Ability to write robust code in Python
• Good understanding of Database Systems and SQL
• Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
• A strong self-starter and able to work with minimal supervision
• Ability to work in a dynamic, fast moving and growing environment
• Critical thinker with problem-solving skills

Good to have:
• Experience in troubleshooting, debugging, analysing logs and tracing of logs.
• Familiarization with CI/CD systems such as GitLab
• Experience with cloud infrastructure and services, and resources administration (i.e. AWS, Azure)
• Experience in Plotly / Dash, Evidently or any other open-sourced dashboarding & performance monitoring tools deployable in production",https://www.mycareersfuture.gov.sg/job/healthcare/data-science-amplify-health-asia-c7fd07ec95ca669e8e652fab1422ddf5?source=MCF&event=Search
1,Data Science Manager,JOBTECH PTE. LTD.,"Developing people for the future

About JobTech
JobTech is the world's leading artificial intelligence and big labour data analytics product company that empowers leaders to develop people for new work realities, driven by real labour market needs and individuals' personal aspirations. JobTech is growing rapidly with global big names customers from both private and public sectors.

About the Team
At JobTech, we are obsessed with improvements, inventing the future and empowering connections. Be surrounded by an enthusiastic team, excited to solve human capital business problems in talent development, using deep technology and labour market data. We embrace empowerment and love seeing what each individual member of the team brings to the table. We are hands-on dreamers, brought together with the common goal of helping people stay employable. If you've always known you were made for something greater, and would like to be a part of changing the HR tech-scape, we want you.

Job Description
JobTech is a product start-up looking to solve real world labour problems and deliver the best possible experience to our end users. We are looking for self-driven and eclectic individuals.
Lead, manage and mentor a team of data analysts to deliver high-quality data projects and initiatives
Collaborate with cross-functional teams to understand business objectives, identify opportunities for data-driven decision making, and communicate insights
Develop and implement data models, algorithms, and statistical analyses to on key data science initiatives
Develop and maintain data infrastructure, processes, and tools to ensure accurate and timely data processing and analysis
Oversee data quality, data governance, and data security to ensure compliance with company and customers’ policies and standards
Manage timelines and resources to ensure timely and successful project delivery
Communicate effectively with senior management to report on progress, results, and key performance indicators
Support sales and customer team on data consultancy requests and queries.
Work closely with data scientists to ensure data models created achieves the company’s business outcome.
Requirements
A self-starter that can thrive in a fast-paced environment.
At least 3 years of experience in data science and analytics, with a track record of successfully leading teams and delivering business outcomes and machine learning projects.
Excellent communication skills with the ability to present complex data and insights to non-technical stakeholders.
Strong programming skills in Python (and its data analytics libraries). Proficient in SQL and NoSQL.
Knowledge in text mining or NLP. Hands-on experience with text mining or NLP will be a plus.
Strong project management skills with the ability to manage multiple projects simultaneously.
Experience with interactive visualisations or dashboard frameworks such as Plotly and Dash is an added advantage.
Passionate about data engineering and analytic techniques, and willing to pick up new skills/tools.
Qualification is intentionally left out as we believe in skills more than certificates ☺",https://www.mycareersfuture.gov.sg/job/information-technology/data-science-manager-jobtech-362d061dabc2c6825e681a8dbc69656b?source=MCF&event=Search
2,Project Manager (Data Science),INTEGRATED HEALTH INFORMATION SYSTEMS PTE. LTD.,"Responsibilities:
Define strategy and implement the plan to coordinate and aggregate demand across all Public Healthcare Institution (PHI) through internal and external forums.
Scan industry and landscape for promising new areas in AI solutions based on MOH’s defined strategic objectives & thematic areas
Engage users on new tech & pilot explorations, and manage the pilot lifecycle.
Work with multiple stakeholders to identify, scope and support the implementation of POC, POV, pilot innovation projects, and manage and track life-cycle of innovation projects at each of the Explore, MVP, POC, POV and Scaling stage.
Share knowledge and information on use cases and work with the funding agencies to identify and evaluate collaborators/providers that offer potential solutions that best suit the needs of users.
Coordinate and communicate with the funding agencies (if applicable) whose investment and grant objectives are relevant to the potential solution at the POC or MVP stages.
Participate as internal review and/or evaluation panelists during the screening and selection process as deemed appropriate by department/division.
Manage AI and tech programmes, track and report to senior management / programme office and retain engagement with the stakeholders throughout the innovation life cycle.
Requirements / Qualifications

Preferably 10 years’ experience and have hands-on experience in project management, client management of medium to large-scale projects, including innovation projects.
Strong interpersonal skills with the ability to work with different groups of stakeholders.
Possess leadership qualities.
Experience in the healthcare industry or experience in developing different types of incubation programs for startups would also be an added advantage.
Degree in Computer Science, Computer Engineering, Data Science or equivalent.",https://www.mycareersfuture.gov.sg/job/information-technology/project-manager-integrated-health-information-systems-06b5aa3da96567be485f53e62699ecce?source=MCF&event=Search
3,Senior Data Science,VGROUP HOLDINGS PTE. LTD.,"We are looking for an amazing Senior Data Engineer to support our growth!
The Senior Data Engineer will oversee the company’s data ingestion / integration work, including developing a data model, maintaining a data warehouse and analytics environment, and writing scripts for data ingestion / integration and analysis. This role will work closely and collaboratively with members of the Data & Analytics and Development teams to define requirements, mine and analyze data, integrate data from a variety of sources, and deploy high quality data pipelines in support of the analytics needs. He will also be responsible for creating automated reporting / data visualization system based on the request of internal stakeholders.
In short, what you will do
Maintain and build on our data warehouse and analytics environment, the home for various source data generated in the company.
Design, implement, test, deploy, and maintain stable, secure, and scalable data engineering solutions and pipelines in support of data and analytics projects, including integrating new sources of data into our central data warehouse, and moving data out to applications.
Build reports and data visualizations, using data from the data warehouse and other sources.
Produce scalable, replicable code and engineering solutions that help automate repetitive data management tasks.
Perform one-off data manipulation and analysis on a wide variety of source data.
Implement and monitor best in class security measures in our data warehouse and analytics environment.
Help other data team staff troubleshoot their SQL, Python, or R code.
Train other data team staff on these skills.
Other duties as assigned.
What you need to bring along
Bachelor’s Degree with related field or equivalent work experience with strong command of relational databases and SQL. Extract, Transform, and Load (ETL) data into a relational database.
Proficiency with Python or R, especially for data manipulation and analysis, and ability to build, maintain and deploy sequences of automated processes with these tools.
General data manipulation skills: read in data, process and clean it, transform and recode it, merge different data sets together, reformat data between wide and long, etc.
Demonstrated ability to learn new techniques and troubleshoot code without support and ability to write clear code that is well-documented and stored in a version control system (Gitlab).
Experience in working with cloud infrastructure services like Amazon Web Services, Data Visualization (Power BI, Tableau) is an added advantage.
Exercise good judgement and ability to prioritize multiple tasks in a timely manner
Must be proficient in MS Word and MS Excel
An ability to perform well in a fast-paced environment
Excellent analytical and multitasking skills with the ability to solve problems creatively and effectively
Ability to work independently while collaborating in a fast-paced agile team
Ability to speak Mandarin and English fluently in order to communicate with global colleagues and stakeholders
Why Join Us?
Be at the forefront in an exciting sector. For over a decade strong year, Vantage has been an award-winning global financial services firm providing market opportunities to all clients globally. With millions of active traders ranging from retail traders to high-net-worth and institutional traders, you will have the opportunity to get your foot in the door working for a global powerhouse that has a local focus. a household name – Vantage is now looking to accelerate our growth in the Asia Headquarter that based in Singapore that known as Vgroup. We are seeking someone that is willing to learn and apply their knowledge and stretch their creative thinking to support us during this momentous journey.
Generous Benefits and Perks. We understand benefits and perks matter to the individual. With that, we have irresistible benefits and perks that you cannot resist.
Amazing growth and learning opportunities. We are a tight-knit team where everyone grows together. We’ll continuously work with you to refine your strengths and strengthen your weakness to further your personal and career development.
For a confidential discussion, click here to apply. Due to the high volume of applicants, we regret that only shortlisted candidates will be notified.",https://www.mycareersfuture.gov.sg/job/banking-finance/senior-data-science-vgroup-holdings-749a296d5a1f919858d6a356b86d740b?source=MCF&event=Search
4,"Senior Analyst, Data Science",SINGAPORE HEALTH SERVICES PTE LTD,"Job Description

You will be working with adynamic team of data scientists, clinician investigators, and health servicesresearchers and research associates, biostatisticians, registry managers toharness the power of healthcare data and data science to advance diagnosis,treatment, and outcomes of patient care. Your main responsibilities includesbut not limited to the following:
Creating and maintaining data pipelines for easy access ofcurated data for analysis
Conducting quality checks on the data to ensure data meet thehighest quality standards
Performing data cleaning and wrangling to prepare the data formachine learning modeling
Performing exploratory data analysis to help see the big picturebehind the data
Assisting data scientists to build and test machine learningmodels
Disseminating data analysis results by presentations to relevantstakeholders or in the form of scientific manuscripts
Job Requirement

Bachelor’s or Master’s degree in Data Science, Computer Science,and Information Systems, Soft Engineering or any related computationaldisciplines or equivalent
Advanced proficiency in Python, R, Java code writing, extensiveknowledge of ML frameworks, libraries, data structures, data modelling, andsoftware architecture, and Hands-on experience with SQL database design
Demonstrated technical expertise with data models, data mining,and segmentation techniques
In-depth knowledge of mathematics, statistics, and algorithms
Familiarity with healthcare database management systems andprocesses as well as healthcare data governance policies and regulation will bean advantage",https://www.mycareersfuture.gov.sg/job/others/senior-analyst-data-science-singapore-health-services-a7fcc308735ccca9a58c514b3abff69a?source=MCF&event=Search
5,"Senior Analyst, Data Science",SINGAPORE HEALTH SERVICES PTE LTD,"Job Description

You will be working with adynamic team of data scientists, clinician investigators, and health servicesresearchers and research associates, biostatisticians, registry managers toharness the power of healthcare data and data science to advance diagnosis,treatment, and outcomes of patient care. Your main responsibilities includesbut not limited to the following:
Creating and maintaining data pipelines for easy access ofcurated data for analysis
Conducting quality checks on the data to ensure data meet thehighest quality standards
Performing data cleaning and wrangling to prepare the data formachine learning modeling
Performing exploratory data analysis to help see the big picturebehind the data
Assisting data scientists to build and test machine learningmodels
Disseminating data analysis results by presentations to relevantstakeholders or in the form of scientific manuscripts
Job Requirement

Bachelor’s or Master’s degree in Data Science, Computer Science,and Information Systems, Soft Engineering or any related computationaldisciplines or equivalent
Advanced proficiency in Python, R, Java code writing, extensiveknowledge of ML frameworks, libraries, data structures, data modelling, andsoftware architecture, and Hands-on experience with SQL database design
Demonstrated technical expertise with data models, data mining,and segmentation techniques
In-depth knowledge of mathematics, statistics, and algorithms
Familiarity with healthcare database management systems andprocesses as well as healthcare data governance policies and regulation will bean advantage",https://www.mycareersfuture.gov.sg/job/others/senior-analyst-data-science-singapore-health-services-0dfd7a44daa5e12dd83aafb9109e7bba?source=MCF&event=Search
6,Data Science Engineer,HAIER SINGAPORE INVESTMENT HOLDING PTE. LTD.,"COMPANY BACKGROUND
Haier is the number one brand of Major Appliances in the world with 9.7 percent of global market share. Headquartered in Qingdao, Haier has over 80,000 employees across 30 countries in the world.
Haier Singapore is one of the holding companies under Haier Group. As the integrated regional centre, Haier Singapore is the main platform to provide procurement, trading, R&D and big data supports to over 80 countries in Asia, Europe, Africa and North America markets.
As the continuous demands from global businesses, we are looking for experienced Data Science Engineer to join our global big data team.
KEY RESPONSIBILITIES
Based in Singapore, you will be part of the global big data team and responsible for the development, maintenance, integration, data governance and data reporting of Haier’s overseas business systems, including:
Work closely with data scientists, analysts and internal and external users to deliver satisfying data products.
Provide ETL solution including significant integrations with tier one bank core systems and between complex business platforms.
Support Enterprise Data Warehouse.
Provide internal training on various planning frameworks developed by Data Science Engineers.
KEY REQUIREMENTS
The ideal candidates we are looking for should be seasoned Data Science Professionals with:
Degree in computer science or its equivalent
With minimum 3 years of experience in Data Science Engineering and object-oriented development within a commercial environment.
Wide experience across databases (Oracle, SQL Server, MySQL), ETL (TALEND, Kettle, Datastage, Informatica, Sqoop) and Business Intelligence tools.
Experienced in large scale data warehouse build and support, Oracle, SQL Server, Oracle ExaData, Teradata architecture and design, logical and physical data modelling, forward engineering to XSD, XSLT for XML messaging.
Knowledge of SAP ERP, Python, Business Object, Bex Analyzer, ABAP, BAPI, BSP, Java, analytics report.
Team player with good people skills, able to work with people at all levels.
Strong communication, presentation and interpersonal skills.",https://www.mycareersfuture.gov.sg/job/information-technology/data-science-engineer-haier-singapore-investment-holding-3e66882c0b5fd3eea74eb2e856611d9d?source=MCF&event=Search
7,Manager - Data Science,AMERICAN EXPRESS INNOVATION LABORATORIES LIMITED (SINGAPORE BRANCH),"You Lead the Way. We’ve Got Your Back.
With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities, and each other. Here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally.
At American Express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success. Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to provide the world’s best customer experience every day. And we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong.
Join Team Amex and let's lead the way together.
Functional Description
Decision Science colleagues will serve as a key member of the Credit and Fraud Risk organization. We seek a thought-leader and a problem-solver who can blend business, technical, and industry best practices when it comes to developing the analyses, models, and algorithms that power our customers’ digital experiences.
This critical team is responsible for managing enterprise risks throughout the customer lifecycle, across our consumer and commercial businesses, and across all our global products. We develop industry-first data capabilities, build profitable decision-making frameworks, create machine learning-powered predictive models, and improve customer servicing strategies.
Our Decision Science teams use industry leading modeling and AI practices to predict customer behavior. We develop, deploy and validate predictive models and support the use of models in economic logic to enable profitable decisions across credit, fraud, marketing and servicing optimization engines.
Responsibilities:
Work with massive amounts of digital data (Web, App, API) and sophisticated tools in an industry leading Big Data environment.
Build everything from basic reports to advanced machine learning models and algos to drive improvements to our customer’s online and mobile app experiences.
Work with product owners to revolutionize the product and content design with a data-driven approach
Collaborate with tech partners to test, implement and deploy modeling solutions to production system.
Develop insights into customer behavior and introduce new approaches to transform complex behavioral data into actionable information
Leverage the power of closed loop through Amex network to make decisions more intelligent and relevant
Innovate with a focus on developing newer and better approaches using big data & machine learning solutions
Qualifications:
PhDs in a quantitative field (Computer Science, Statistics, Mathematics, Physics, Operation Research and etc.) with hands-on experience leveraging sophisticated analytical and machine learning techniques. PhD degree with practical experiences NLP is a significant plus.
Expertise in an analytical language (Python, R or the equivalent), and experience with databases (Hive, SQL, or the equivalent). Knowledge of SAS is a plus but not required.
Deep understanding of machine learning/statistical algorithms such as deep learning and boosting. Experience with data visualization is a plus
Demonstrated ability to frame business problems into mathematical programming problems, leverage external thinking and tools (from academia and/or other industries) to engineer a solution and deliver business insights.
Ability to work effectively in a team environment
Independent thinker who’s organized, has great attention to detail, and can multi-task
Strong communication skills
Ability to learn quickly and work independently with sophisticated, unstructured initiatives
Ability to integrate with cross-functional business partners worldwide
Proficient in presentation tools, including Excel and PowerPoint",https://www.mycareersfuture.gov.sg/job/information-technology/manager-data-science-american-express-innovation-laboratories-1b7dbb0f2ac5090a9efb1115936ef3f9?source=MCF&event=Search
8,"Senior Manager, Data Science & Business Intelligence",STARHUB LTD.,"Job Title: Senior Manager, Data Science & Business Intelligence
Job purpose
You will lead the Data Science and BI function and to manage the governance, collection, measurement, and visualisation of data, build and enhance data science models to drive business objectives and identify opportunities to improve processes and strategies with technology solutions for Data Science and BI.
Responsibilities
Analytics:
* Conduct monthly deep dives on consumer segment performance (Sub-base, ARPU, Revenue and margins) with a second level insights on product performance by consumer segments.
* Define, measure, and communicate key performance indicators for consumer segment.
* Perform complex analysis and modeling for segment by multiple products for GTM activities, with the goal of maximizing revenue, market share and minimizing risk.
* Assist in segment GTM by identifying key drivers for business case/sponsorship and post mortem evaluation, effectiveness of campaigns
* Provide actionable recommendations for opportunities that support business objectives identified through ongoing program and customer measurement.
Data Science
* Use advanced analytics techniques and models to drive business decisions and impact
* Proactively look for new innovative ways to better understand our customers needs and behaviours to drive actionable insights
* Regularly measure existing model performance to improve churn, upsell and cross sell KPI’s
* Continuously look at how we can enrich our data to create new segments and potential target groups
Data & Business Intelligence :
* Provide data and regular reports to the business teams to enhance current strategy for churn, retention, cross and up sell to meet business objectives.
* Manage and continuously improve the performance dashboards and look for opportunities to improve efficiency across the business through new interactive deep dive dashboards
* Oversee the deployment of data to the data warehouse and continuously update and enhance it to keep up with changing business needs.
* Explore and include new data sources in the data warehouse for data science, analytics, digital rewards and campaign management
* Define, measure, and communicate key performance indicators for consumer segment.
Team Leadership
* Manages a small team across data science, data engineering and data visualisation
* Coach, retain and grow the team’s capability and skillsets with an emphasis on empowering the team
* Create an environment of continuous business improvement and a culture of innovation
* Form part of the CLM leadership team and add value across Customer Insights, Campaign Strategy and Digital Rewards
* Manage and continuously evaluate the existing BI and Data Science tools for optimal performance
Requirements
* Degree in Statistics, Mathematics, Economics Engineering or similar field with at least 10 years of data science and analytical work experience in a related role, ideally 3+ in the telco industry
* Prior experience using Python, R, SAS, SQL, Data Robot or a similar tool
* Experience utilising Visualisation tools – Tableau, PowerBI or similar tool
* Quantitative and comfortable working with large amounts of data
* A self-starter with analytical curiosity and strong business acumen
* Strong analytical skills with an eye for an insight and the ability to make data driven recommendations
*We regret that only shortlisted candidates will be notified.",https://www.mycareersfuture.gov.sg/job/engineering/senior-manager-data-science-business-intelligence-starhub-94cc26b6ec7610cfb9268e4b8ab09c05?source=MCF&event=Search
9,Head of Data Science,CIALFO PTE. LTD.,"Cialfo is a leading platform connecting students, higher education institutions, and counselors through technology-driven solutions. Launched in 2017 with a mission to make education accessible to 100 million students, Cialfo provides a range of mobile and web solutions to students, K-12 institutions, and higher education institutions. We’re one of the fastest-growing tech startups in the region, consistently charting new heights!
Job Description
We are looking for a Head of Data Science to lead and expand the data science function in Cialfo and help us gain useful insight out of our data gold mines. Data is the way forward and this role will give you the opportunity to build/mentor an ideal team to pave the way forward! This role will require responsibilities such as hiring and managing a lean data science team, planning projects, be hands-on in building analytics models and production / deployment. You should have a strong problem-solving ability and a knack for statistical analysis. If you’re also able to align our data products with our business goals, we’d love to meet you. This position will be part of our Product team (yes, our wonderful colleagues who make our platform a reality!!) and your ultimate goal will be to help improve our products and business decisions by making the most out of our data.
Responsibilities
Manage a team of data scientists, machine learning engineers and big data specialists
Lead data mining and collection procedures
Ensure data quality and integrity
Interpret and analyze data problems, turning business problems into data insights
Conceive, plan and prioritize data projects
Build analytic systems and predictive models
Test performance of data-driven products
Visualize data and create reports
Experiment with new models and techniques
Has in-depth knowledge and expertise in the process of converting an unstructured problem to useful and actionable insights using data science/analytics.
Align data projects with organizational goals
Planning data projects
Building analytic systems and predictive models
Managing a team of data scientists, machine learning engineers and big data specialists
Collaborating with stakeholders across teams to execute projects.
Requirements
Proven experience as a Data Scientist or similar role, with 5 - 8 years experience.
Demonstrate the ability to distil complex business problems, solutionize and turn them into measurable, actionable and optimizable outcomes.
Have experience in building, maintaining and evaluating models in a production (real time and offline) environment. Design and build scalable systems (a short SLA only excites you like there's no tomorrow!)
Experience building a team from scratch with a strategic vision on how Cialfo can be even more data driven.
You've done production (real time and offline), hands down you've got this. A short SLA only excites you like there's no tomorrow!
Strong in the common data science tongues (R, Python, Scala, …), with deep expertise in common data science tools/package (sklearn, mllib, tensorflow, torch, etc.)
Experience with SQL and NoSQL databases
Experience building a team from scratch with a strategic vision. Earn extra stripes if you can demonstrate your talent retention ability.
Stakeholder management is your strong suit, you know how to use data for stakeholder buy-in.
Strong organizational and leadership skills, with a bias to action
Masters Degree or PhD in Computer Science, Data Science, Mathematics or similar field",https://www.mycareersfuture.gov.sg/job/others/head-data-science-cialfo-858cb4b197eab64b9eb0f467b4d81f9d?source=MCF&event=Search
10,Contract Senior Research Assistant / Assistant Manager Data Science,SINGAPORE TOURISM BOARD,"What the role is:
To implement, manage, monitor and assemble surveys through the use of a survey platform to collect data and use data analytics to generate insights that help STB to make data driven decisions, that will drive growth of Singapore tourism.

Main responsibilities:
Support the project manager in implementation and execution of data collection through surveys by managing the end-to-end survey processes, such as capturing survey requirements, development, deployment and monitoring of surveys for the purpose of data collection from our tourists. Responsible for various aspects of vendor and contract management.
Manage survey data collection operational work (e.g., weekly status reporting, survey campaign monitoring and management).
Lead and execute the training and upskilling of business units in using the survey platform to build and launch their own surveys.
Support test planning and test execution of enhancements to existing surveys.
Develop software codes / scripts to automate and build data processing pipelines for survey data integration.
Contribute to the development of new data models that integrate survey data with STB’s internal datasets.
Apply data mining techniques, perform statistical analysis and build prototype analysis pipelines iteratively to provide insights from data at scale.
Distil and present coherent insights using business intelligence tools (e.g. QlikSense) and carry out data storytelling to answer business questions. This may require building new dashboards from scratch based on user input and setting up the associated ETL workstreams.

Competency requirements:
Achieving results with others
Analytical thinking
Change management
Project management
Stakeholder management & relationship building
Data Analytics – perform analysis on data using data analysis tools (e.g. R, SQL) and statistical techniques to obtain insights, patterns or relationships
Data Visualisation – Ability to set up new QlikSense dashboard and communicate insights through visualisation
Job requirements:
Working knowledge of R and SQL
Minimum 2 years experience with developing surveys on survey platforms (e.g. Qualtrics, Forsta)
Minimum 2 years relevant experience in data analysis, data story telling, quantitative market research projects
Survey project management, involving survey development, data quality, data mapping & integration, user acceptance testing
Proven track record in engaging relevant stakeholders (within and outside of the organization)
Experience in using visualisation tools & creating new dashboards (e.g. QlikSense)
Strong presentation and communication skills with ability to express complex ideas in an easy-to-understand manner
Strong command of written and spoken English

Application Status: Shortlisted candidates will be contacted within 2 weeks from the closing date of this job posting. We regret to inform that only shortlisted candidates will be notified.",https://www.mycareersfuture.gov.sg/job/information-technology/contract-senior-research-assistant-assistant-manager-data-science-singapore-tourism-board-23b83b8cc8171910e5d95c7a2c14c325?source=MCF&event=Search
11,Senior Consultant - Data Science & Analytics,SIA PARTNERS SINGAPORE PTE. LTD.,"ABOUT SIA PARTNERS:

Sia Partners is a next-generation consulting firm focused on delivering superior value and tangible results to its clients as they navigate the digital revolution. With over 2,400 consultants in 17 countries, we will generate an annual turnover of USD 300 million for the current fiscal year. Our global footprint and our expertise in more than 30 sectors and services allow us to enhance our clients' businesses worldwide.
We guide their projects and initiatives in strategy, business transformation, IT & digital strategy, and Data Science. As the pioneer of Consulting 4.0, we develop consulting bots and integrate AI in our solutions.

Job Description
You will also contribute to internal data science projects hosted on Heka, our internal accelerator for data science projects: https://www.heka.ai/en
As part of the global data science team, you will contribute to the development of various solutions designed to address our clients’ needs.

Key responsibilities:
Partner with our client’s leadership teams, engineers, program managers and data analysts to understand business needs.
Steer a small team or work independently on client projects with support of senior leadership
Identify, acquire, process and explore relevant data sources.
Analyze large amounts of structured and unstructured information to discover trends and patterns.
Use your data analytics and data science expertise to derive valuable insights from datasets, build predictive models and machine-learning algorithms.
Communicate at scale, through multiple mediums: presentations, dashboards, datasets, bots and more.
Propose solutions and strategies to business challenges.
Collaborate with engineering and product development teams.
Contribute to a broad range of projects and deliverables, including models, algorithms, datasets, measurements, services, tools and processes.
Evangelize data science in the region by contributing to training & upskilling
Contribute to business development activities such as building proposals, conducting research, and driving thought leadership
Qualifications
3+ years’ experience as a Data Scientist or Data analyst (ideally in consulting)
At least a bachelor’s or equivalent degree in a relevant area of study (Data Science, Business Analytics, Statistics, Economics or a related field of study) from a top university
Good skills in Python and ideally another analytical language (e.g., R, SQL)
Problem-solving aptitude and strong business acumen
Excellent communication and presentation skills
English fluency. As you will be working with our regional offices in Hong Kong and Japan, additional regional languages is a plus (e.g., Cantonese, Mandarin, Japanese)
Strong plus: Experience with data visualization tools (e.g., Tableau, PowerBI, R-shiny)
Strong plus: Good understanding of statistical techniques and concepts
Strong plus: Knowledge of Machine Learning techniques or optimization
Additional information
What do we offer?
Competitive salary & top tier benefits
Training resources to further develop yourself as an expert in your discipline
Opportunity to work with top tier clients in financial services, retail, and other sectors in SG and beyond
Dynamic environment with many opportunities to take on responsibilities usually reserved for more experienced professionals",https://www.mycareersfuture.gov.sg/job/consulting/senior-consultant-data-science-analytics-sia-partners-singapore-a1206bdd9fbdea0ecbe82309175f2bc3?source=MCF&event=Search
