skill,school,modules
computational,NUS,"['CS1010', 'CS1010', 'MA2104', 'CS3244', 'CS3244', 'DSA4212', 'MA4270']"
computational,NTU,"['CZ1003', 'CZ1003', 'CC0002']"
computational,SMU,['CS421']
computational,SUTD,"[10.014, 50.035, 50.05, 50.05]"
computational,SIT,['CSC3005']
thinking,NUS,['CS1010']
thinking,NTU,"['CZ1003', 'CZ1003', 'CC0002', 'MH2802', 'CC0007']"
thinking,SMU,"['CS421', 'CS421', 'IS428']"
thinking,SUSS,['ANL321']
problem,NUS,"['CS1010', 'CS1010', 'CS1010', 'DSA4262', 'DSA4263', 'DSA4266', 'MA3236', 'MA3252', 'MA3252', 'MA3252', 'MA4270', 'CS4234', 'CS4234', 'MA4230', 'MA4230']"
problem,NTU,"['CZ1003', 'CZ1003', 'CZ1003', 'CC0002', 'CC0002', 'CC0002', 'CZ2001', 'CZ2001']"
problem,SUTD,"[50.003, 50.003, 50.004, 50.004, 50.005, 40.319, 50.021]"
solving,NUS,"['CS1010', 'CS1010', 'DSA2102']"
solving,NTU,"['CC0002', 'CC0002', 'CC0002']"
solving,SUTD,"[50.005, 40.319]"
solving,SIT,['CSC1006']
designing,NUS,"['CS1010', 'CS3230']"
designing,SUTD,"[50.001, 50.041, 50.041]"
specifying,NUS,['CS1010']
algorithm,NUS,"['CS1010', 'CS2040', 'CS2040', 'CS2040', 'DSA2102', 'DSA3102', 'ST4231', 'CS3210', 'CS3210', 'CS3230', 'CS3230', 'CS3243', 'CS4234', 'CS4234', 'CS4234', 'CS4234']"
algorithm,NTU,"['CZ1003', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ2001', 'CZ2001', 'CZ2001', 'CZ2001', 'CZ2001', 'CZ2001', 'CZ2001', 'CZ2001', 'CZ2001', 'CZ3005', 'CZ3005']"
algorithm,SMU,"['CS421', 'CS421', 'DSA201', 'IS1702']"
