Module Code,Module Title,module category,Module Level,module type,University,faculty,credit units,prerequisites,preclusions,final,project ,area of interest,semester offered,module description,All Module Details
ACC202,Financial and Managerial Accounting,Other,2,compulsory,SUSS,School of Business,5,,ACC201,T,F,business administration,"1,2",ACC202 Financial and Managerial Accounting is an introductory course in financial and managerial accounting. It provides an understanding of fundamental concepts used in accounting and their role in business. Students will learn the basic knowledge and skills to analyse and apply accounting information to support decision making.,ACC202 Financial and Managerial Accounting is an introductory course in financial and managerial accounting. It provides an understanding of fundamental concepts used in accounting and their role in business. Students will learn the basic knowledge and skills to analyse and apply accounting information to support decision making.
ANL201,Data Visualisation for Business,Data Analytics,2,compulsory,SUSS,School of Business,5,"ANL101,BUS105",ANL315,F,T,business administration,2,"ANL201 Data Visualisation for Business is designed to equip students with knowledge and skills to use data visualisation in measuring and monitoring business performance. Firstly, students acquire knowledge of the business performance measurement framework and visualisation techniques. Secondly, they learn various stages of data management - data cleaning, exploratory analysis and data treatment. Finally, they learn how to combine the first two to create an effective, aesthetic and interpretable graphical representation of business performance - a business performance dashboard using data visualisation package. Through this course, students will learn to use data to make more informed decisions through effective visualisation and communication of the story hidden in the data. They will also acquire software skills for day-to-day work that will help them pursue career growth.","ANL201 Data Visualisation for Business is designed to equip students with knowledge and skills to use data visualisation in measuring and monitoring business performance. Firstly, students acquire knowledge of the business performance measurement framework and visualisation techniques. Secondly, they learn various stages of data management - data cleaning, exploratory analysis and data treatment. Finally, they learn how to combine the first two to create an effective, aesthetic and interpretable graphical representation of business performance - a business performance dashboard using data visualisation package. Through this course, students will learn to use data to make more informed decisions through effective visualisation and communication of the story hidden in the data. They will also acquire software skills for day-to-day work that will help them pursue career growth."
ANL252,Python for Data Analytics,Data Analytics,2,compulsory,SUSS,School of Business,5,,ANL251,F,T,business administration,"1,2","ANL252 Python for Data Analytics, as part of the Business Analytics programme, is designed to equip Business Analytics students with the skills and knowledge to use the Python programming language as a tool for data analytics tasks. At the end of this course, students will be competent in writing Python codes to manage and manipulate data, and performing visualisation and data analytics techniques using existing, accessible Python libraries. Since this course is designed to help students with little prior exposure to programming, it will focus on breadth rather than depth.","ANL252 Python for Data Analytics, as part of the Business Analytics programme, is designed to equip Business Analytics students with the skills and knowledge to use the Python programming language as a tool for data analytics tasks. At the end of this course, students will be competent in writing Python codes to manage and manipulate data, and performing visualisation and data analytics techniques using existing, accessible Python libraries. Since this course is designed to help students with little prior exposure to programming, it will focus on breadth rather than depth."
ANL303,Fundamentals of Data Mining,Data Analytics,3,compulsory,SUSS,School of Business,5,,,T,F,business administration,"1,2","Fundamentals of Data Mining (ANL303) introduces students to the process and applications of data mining. Students will learn to appraise possible data mining solutions to address different types of business problems. Apart from learning to explore and prepare data for mining, they will be equipped with the basic skills and knowledge in constructing, interpreting, and evaluating data mining results or models. They will also be exposed to applying data analytics using a suite of tools including cloud services.","Fundamentals of Data Mining (ANL303) introduces students to the process and applications of data mining. Students will learn to appraise possible data mining solutions to address different types of business problems. Apart from learning to explore and prepare data for mining, they will be equipped with the basic skills and knowledge in constructing, interpreting, and evaluating data mining results or models. They will also be exposed to applying data analytics using a suite of tools including cloud services."
ANL305,Association and Clustering,Data Science,3,compulsory,SUSS,School of Business,5,ANL303,,T,F,business administration,1,"ANL305 Association and Clustering equips students with the skills and knowledge in applying Association Rule Mining, Clustering, as well as related unsupervised learning techniques. The course covers general approaches to developing analytics solutions when confronted with real-world problems. Students will learn how to address the problems using the techniques taught in this course. Last but not least, students will also be exposed to applying unsupervised data exploration and analysis using cloud services.","ANL305 Association and Clustering equips students with the skills and knowledge in applying Association Rule Mining, Clustering, as well as related unsupervised learning techniques. The course covers general approaches to developing analytics solutions when confronted with real-world problems. Students will learn how to address the problems using the techniques taught in this course. Last but not least, students will also be exposed to applying unsupervised data exploration and analysis using cloud services."
ANL307,Predictive Modelling,Data Science,3,compulsory,SUSS,School of Business,5,ANL303,,T,F,business administration,2,"ANL307 Predictive Modelling aims to equip students with the skills and knowledge in developing predictive models to solve business problems. The course covers important concepts (such as issues in model construction, evaluation, selection and deployment) that underpin the proper development of useful models. Last but not least, the course also covers applications of predictive modelling using cloud services.","ANL307 Predictive Modelling aims to equip students with the skills and knowledge in developing predictive models to solve business problems. The course covers important concepts (such as issues in model construction, evaluation, selection and deployment) that underpin the proper development of useful models. Last but not least, the course also covers applications of predictive modelling using cloud services."
ANL310,Business Analytics Applications and Issues,Data Analytics,3,compulsory,SUSS,School of Business,5,ANL303,ANL309,T,T,business administration,2,"ANL310 Business Analytics Applications and Issues aims to equip students with the knowledge of various applications of business analytics in different industries. The course covers data mining applications used specifically in various industries, including fault detection in manufacturing sector, cross-selling and up-selling for service providers (for e.g., telecommunication) and customer loyalty, retention and churn in the retail sector. Towards the end of the course, issues in deployment of data mining models are also discussed.","ANL310 Business Analytics Applications and Issues aims to equip students with the knowledge of various applications of business analytics in different industries. The course covers data mining applications used specifically in various industries, including fault detection in manufacturing sector, cross-selling and up-selling for service providers (for e.g., telecommunication) and customer loyalty, retention and churn in the retail sector. Towards the end of the course, issues in deployment of data mining models are also discussed."
ANL312,Text Mining and Applied Project Formulation,Data Science,3,compulsory,SUSS,School of Business,5,ANL303,ANL311,F,T,business administration,1,ANL312 Text Mining and Applied Project Formulation covers Text Mining as well as topics related to the formulation of the Applied Project such as Applied Project Research and report writing. The aim of this course is to broaden students' exposure to the breadth and depth of text mining and its applications and also to enable the students to carry out a prototype of the Applied Project so that they are more prepared for the Applied Project. Specific software will be used intensively in the course to provide hands-on applications of the topics covered.,ANL312 Text Mining and Applied Project Formulation covers Text Mining as well as topics related to the formulation of the Applied Project such as Applied Project Research and report writing. The aim of this course is to broaden students' exposure to the breadth and depth of text mining and its applications and also to enable the students to carry out a prototype of the Applied Project so that they are more prepared for the Applied Project. Specific software will be used intensively in the course to provide hands-on applications of the topics covered.
ANL488,Business Analytics Applied Project,Data Analytics,4,compulsory,SUSS,School of Business,10,"ANL312,ANL201,ANL303,ANL305,ANL307,ANL310",ANL499,F,T,business administration,"1,2","With this project, students will apply the techniques and skills they acquired to individually assigned problems. Students will identify appropriate projects in which data mining techniques will be applied to provide useful information to make decisions.","With this project, students will apply the techniques and skills they acquired to individually assigned problems. Students will identify appropriate projects in which data mining techniques will be applied to provide useful information to make decisions."
BUS105,Statistics,Statistics,1,compulsory,SUSS,School of Business,5,,BSZ220,T,T,business administration,"1,2","This course provides students with an understanding of statistical concepts and techniques to generate information for decision-making. The course covers descriptive statistics, probability distributions, sampling distribution, interval estimation, hypothesis testing, ANOVA and regression. Emphasis will be placed on acquiring the analytical and interpretative skills needed to understand statistical findings.","This course provides students with an understanding of statistical concepts and techniques to generate information for decision-making. The course covers descriptive statistics, probability distributions, sampling distribution, interval estimation, hypothesis testing, ANOVA and regression. Emphasis will be placed on acquiring the analytical and interpretative skills needed to understand statistical findings."
FIN203,Essentials of Financial Management,Other,2,compulsory,SUSS,School of Business,5,,"ECO201,BSZ221, DDZS2021",T,T,finance,"1,2","A business graduate needs to understand the essentials of finance so that he/she will be able to interact effectively with the finance and other functions in the organisation pertaining to financial matters. FIN203 Essentials of Financial Management aims to equip business graduates with the requisite knowledge and skills relating to finance concepts and models to understand the implications of the firm’s activities on its finances. A broad range of topics, covering financial statements, cash flows, valuation, time value of money, risk and return, cost of capital, capital structure, investment and financial planning is covered. Such knowledge and skills would be highly useful for those aspiring to start their own business or those who work in smaller firms that do not employ finance specialists.","A business graduate needs to understand the essentials of finance so that he/she will be able to interact effectively with the finance and other functions in the organisation pertaining to financial matters. FIN203 Essentials of Financial Management aims to equip business graduates with the requisite knowledge and skills relating to finance concepts and models to understand the implications of the firm’s activities on its finances. A broad range of topics, covering financial statements, cash flows, valuation, time value of money, risk and return, cost of capital, capital structure, investment and financial planning is covered. Such knowledge and skills would be highly useful for those aspiring to start their own business or those who work in smaller firms that do not employ finance specialists."
