school,code,name,description,skills
NUS,CS1010,Programming Methodology,"This module introduces the fundamental concepts of problem solving by computing and programming using an imperative programming language. It is the first and foremost introductory course to computing. Topics covered include computational thinking and computational problem solving, designing and specifying an algorithm, basic problem formulation and problem solving approaches, program development, coding, testing and debugging, fundamental programming constructs (variables, types, expressions, assignments, functions, control structures, etc.), fundamental data structures (arrays, strings, composite data types), basic sorting, and recursion.","['computational', 'thinking', 'computational', 'problem', 'solving', 'designing', 'specifying', 'algorithm', 'basic', 'problem', 'formulation', 'problem', 'solving', 'approach', 'program', 'development', 'coding', 'testing', 'debugging', 'fundamental', 'programming', 'construct', 'fundamental', 'data', 'structure', 'basic', 'sorting', 'recursion']"
NUS,DSA1101,Introduction to Data Science,"The abundance of data being harvested from various sectors of today’s society increases the demand for skilled data science practitioners. This module introduces foundational data science concepts to prepare students for tackling real-world data analytic challenges. Major topics include basic concepts in probability and statistics, data manipulation, supervised and unsupervised learning, model validation and big data analysis, alongside special topics discussed in guest lectures delivered by practicing data scientists from government and industry. Throughout the course, students will learn fundamental R programming skills to implement and apply the data science methods in motivating realworld case studies from diverse fields.","['probability', 'statistic', 'data', 'manipulation', 'supervised', 'unsupervised', 'learning', 'model', 'validation', 'big', 'data', 'analysis', 'r', 'programming']"
NUS,MA2001,Linear Algebra I,"This module is a first course in linear algebra. Fundamental concepts of linear algebra will be introduced and investigated in the context of the Euclidean spaces R^n. Proofs of results will be presented in the concrete setting. Students are expected to acquire computational facilities and geometric intuition with regard to vectors and matrices. Some applications will be presented. Major topics Systems of linear equations, matrices, determinants, Euclidean spaces, linear combinations and linear span, subspaces, linear independence, bases and dimension, rank of a matrix, inner products, eigenvalues and eigenvectors, diagonalization, linear transformations between Euclidean spaces, applications.","['linear', 'algebra', 'linear', 'algebra', 'system', 'linear', 'equation', 'matrix', 'determinant', 'euclidean', 'space', 'linear', 'combination', 'linear', 'span', 'subspace', 'linear', 'independence', 'base', 'dimension', 'rank', 'matrix', 'inner', 'product', 'eigenvalue', 'eigenvectors', 'diagonalization', 'linear', 'transformation', 'euclidean', 'space']"
NUS,MA2002,Calculus,"This is a course in single-variable calculus. We will introduce precise definitions of limit, continuity, derivative, and the Riemann integral. Students will be exposed to computational techniques and applications of differentiation and integration. This course concludes with an introduction to first order differential equations. Major topics Functions; limit and continuity; derivative; Intermediate Value Theorem; chain rule; implicit differentiation; higher derivatives; Mean Value Theorem; Riemann integral; Fundamental Theorem of Calculus; elementary transcendental functions and their inverses; techniques of integration; computation of area, volume and arc length using definite integrals; first order differential equations.","['limit', 'continuity', 'derivative', 'differentiation', 'first', 'order', 'differential', 'equation', 'limit', 'continuity', 'derivative', 'intermediate', 'value', 'theorem', 'chain', 'rule', 'implicit', 'differentiation', 'derivative', 'mean', 'value', 'theorem', 'riemann', 'integral', 'fundamental', 'theorem', 'calculus', 'transcendental', 'function', 'integration', 'computation', 'area', 'volume', 'definite', 'integral', 'first', 'order', 'differential', 'equation']"
NUS,CS2040,Data Structures and Algorithms,"This module introduces students to the design and implementation of fundamental data structures and algorithms. The module covers basic data structures (linked lists, stacks, queues, hash tables, binary heaps, trees, and graphs), searching and sorting algorithms, and basic analysis of algorithms.","['data', 'structure', 'algorithm', 'data', 'structure', 'stack', 'searching', 'sorting', 'algorithm', 'analysis', 'algorithm']"
NUS,DSA2101,Essential Data Analytics Tools: Data Visualisation,"Data visualisation is an essential tool for data analytics. This module is an introduction to data cleaning, exploration, analysis and visualisation. Students will learn how to take raw data, extract meaningful information, use statistical tools, and make visualisations. Topics include: programming in R, introduction to data storage systems, data manipulation, exploratory data analysis, dimension reduction, statistical graphics for univariate, multivariate (high-dimensional), temporal and spatial data, basic design principles and critical evaluation of visual displays of data.","['data', 'visualisation', 'data', 'cleaning', 'exploration', 'analysis', 'visualisation', 'programming', 'r', 'data', 'storage', 'system', 'data', 'manipulation', 'exploratory', 'data', 'analysis', 'dimension', 'reduction', 'statistical', 'graphic', 'design', 'principle', 'critical', 'evaluation', 'visual', 'display', 'data']"
NUS,DSA2102,Essential Data Analytics Tools: Numerical Computation,"This module aims at introducing basic concepts and wellestablished numerical methods that are very related to the computing foundation of data science and analytics. The emphasis is on the tight integration of numerical algorithms, implementation in industrial programming language, and examination on practical examples drawn from various disciplines related to data science. Major topics include: computer arithmetic, matrix multiplication, numerical methods for solving linear systems, least squares method, interpolation, concrete implementations in industrial program language, and sample applications related to data science.","['numerical', 'algorithm', 'implementation', 'industrial', 'programming', 'language', 'examination', 'computer', 'arithmetic', 'matrix', 'multiplication', 'numerical', 'method', 'solving', 'linear', 'system', 'least', 'square', 'method', 'interpolation', 'program', 'language', 'sample', 'application']"
NUS,MA2311,Techniques in Advanced Calculus,"This module applies advanced calculus to practical mathematical problems, and is for students with advanced calculus background and with interest in the applications of calculus. Major topics Sequences, series, power series. Vector algebra in R2 and R3. Scalar- and vector-valued functions of several variables. Partial derivatives, total differentials. Mean value Theorem. Taylor's formula. Jacobian. Chain rule. Lagrange multiplier. Multiple integrals.","['calculus', 'sequence', 'series', 'power', 'series', 'vector', 'algebra', 'scalar', 'vector', 'valued', 'function', 'partial', 'derivative', 'total', 'differential', 'mean', 'value', 'theorem', 'taylor', ""'s"", 'formula', 'jacobian', 'chain', 'rule', 'lagrange', 'multiplier', 'multiple', 'integral']"
NUS,MA2104,Multivariable Calculus,"This is a module on the calculus of functions of several real variables, applications of which abound in mathematics, the physical sciences and engineering. The aim is for students to acquire computational skills, ability for 2- and 3-D visualisation and to understand conceptually fundamental results such as Green’s Theorem, Stokes’ Theorem and the Divergence Theorem. Major topics Euclidean distance and elementary topological concepts in Rn, limit and continuity, implicit functions. Partial differentiation, differentiable functions, differentials, chain rules, directional derivatives, gradients, mean value theorem, Taylor’s formula, extreme value theorem, Lagrange multipliers. Multiple integrals and iterated integrals, change of order of integration, applications, Jacobian matrix, change of variables in multiple integrals. Line integrals and Green’s theorem. Surface integrals, Stokes’ Theorem, Divergence Theorem.","['calculus', 'mathematics', 'physical', 'science', 'engineering', 'computational', 'skill', 'visualisation', 'green', 'theorem', 'stokes', 'theorem', 'divergence', 'theorem', 'euclidean', 'distance', 'topological', 'concept', 'limit', 'continuity', 'implicit', 'function', 'partial', 'differentiation', 'differentiable', 'function', 'differential', 'chain', 'rule', 'directional', 'derivative', 'gradient', 'mean', 'value', 'theorem', 'taylor', 'formula', 'extreme', 'value', 'theorem', 'lagrange', 'multiplier', 'multiple', 'integral', 'iterated', 'integral', 'change', 'order', 'integration', 'application', 'jacobian', 'matrix', 'change', 'variable', 'multiple', 'integral', 'line', 'integral', 'green', 'theorem', 'surface', 'integral', 'stokes', 'theorem', 'divergence', 'theorem']"
NUS,ST2131,Probability,"This module gives an elementary introduction to probability theory for students with knowledge of elementary calculus. It will cover not only the mathematics of probability theory but will work through diverse examples to illustrate the wide scope of applicability of probability, such as in engineering and computing, social and management sciences. Topics covered are counting methods, sample space and events, axioms of probability, conditional probability, independence, random variables, discrete and continuous distributions, joint and marginal distributions, conditional distribution, independence of random variables, expectation, conditional expectation, moment generating function, central limit theorem, and weak law of large numbers.","['probability', 'theory', 'calculus', 'probability', 'theory', 'counting', 'method', 'sample', 'space', 'event', 'axiom', 'probability', 'conditional', 'probability', 'independence', 'random', 'variable', 'discrete', 'continuous', 'distribution', 'joint', 'marginal', 'distribution', 'conditional', 'distribution', 'independence', 'random', 'variable', 'expectation', 'conditional', 'expectation', 'moment', 'generating', 'function', 'central', 'limit', 'theorem', 'weak', 'law', 'large', 'number']"
NUS,ST2132,Mathematical Statistics,"This module introduces students to the theoretical underpinnings of statistical methodology and concentrates on inferential procedures within the framework of parametric models. Topic include: random sample and statistics, method of moments, maximum likelihood estimate, Fisher information, sufficiency and completeness, consistency and unbiasedness, sampling distributions, x2-, t- and Fdistributions, confidence intervals, exact and asymptotic pivotal method, concepts of hypothesis testing, likelihood ratio test, Neyman-Pearson lemma. This module is targeted at students who are interested in Statistic and are able to meet the prerequisite.","['statistical', 'methodology', 'inferential', 'procedure', 'parametric', 'model', 'random', 'sample', 'statistic', 'method', 'moment', 'maximum', 'likelihood', 'estimate', 'fisher', 'information', 'sufficiency', 'completeness', 'consistency', 'unbiasedness', 'sampling', 'distribution', 'x', 'confidence', 'interval', 'exact', 'asymptotic', 'pivotal', 'method', 'hypothesis', 'testing', 'likelihood', 'ratio', 'test', 'neyman', 'pearson', 'lemma', 'statistic']"
NUS,CS3244,Machine Learning,"This module introduces basic concepts and algorithms in machine learning and neural networks. The main reason for studying computational learning is to make better use of powerful computers to learn knowledge (or regularities) from the raw data. The ultimate objective is to build self-learning systems to relieve human from some of already-too-many programming tasks. At the end of the course, students are expected to be familiar with the theories and paradigms of computational learning, and capable of implementing basic learning systems.","['machine', 'learning', 'neural', 'network', 'computational', 'learning', 'self', 'learning', 'system', 'computational', 'learning', 'learning', 'system']"
NUS,DSA3101,Data Science in Practice,"This module is designed to be a continuation of DSA1101 Introduction to Data Science. It focuses on data science methodology and the ability to apply such methodology to practical applications. Real-world problems will be provided by both industrial and academic partners in domains such as transportation, consulting, finance, pharmaceutics, life sciences and physics.",[]
