Module Code,Module Title,Module Category,Module Level,Credit,Department ,Module Description ,Topics,Prerequisites,Preclusion,Link,Remark,mod_desc
CSC1002,Mathematics 1,Mathematics,1.0,6,CSC,This first mathematics module will equip students with the core mathematical knowledge in discrete mathematics. The module consists of a series of lectures and tutorials.,"Basic logic, functions, relations and sets, sequences and series, prime number and divisibility, mathematical induction, pigeonhole principle, and permutation and combinations.",,,https://www.singaporetech.edu.sg/modules/mathematics-1,,"This first mathematics module will equip students with the core mathematical knowledge in discrete mathematics. The module consists of a series of lectures and tutorials. Basic logic, functions, relations and sets, sequences and series, prime number and divisibility, mathematical induction, pigeonhole principle, and permutation and combinations."
CSC1001,Introduction to Computer Systems,Computer Science,1.0,6,CSC,"This module is intended to be at an introductory level to provide an overview of the different modules taught in the computing science programme. The purpose is to enable students to appreciate the relevance and interrelationships of different modules without being lost in the details, as well as to instill a computing science mindset in them. ","This module covers wide variety of topics ranging from binary number systems, the building blocks of hardware, the building blocks of software, to algorithms, database and security.",,,https://www.singaporetech.edu.sg/modules/introduction-computing,,"This module is intended to be at an introductory level to provide an overview of the different modules taught in the computing science programme. The purpose is to enable students to appreciate the relevance and interrelationships of different modules without being lost in the details, as well as to instill a computing science mindset in them.  This module covers wide variety of topics ranging from binary number systems, the building blocks of hardware, the building blocks of software, to algorithms, database and security."
ICT1002,Programming Fundamentals,Computer Science,1.0,6,ICT,The foundations provided in this module are essential in most modules of the following terms in the ICT programmes. ,"The topics covered in this module include Introduction to the historical and social context of computing, Basic concepts in programming (Data types, Control structures, Functions, Arrays, pointers, Files), Running, Testing and Debugging scripts and programs, Overview of Programming paradigms. Programming concepts are demonstrated in a variety of languages and practised in a scripting language (Python) as well as a standard programming language (C).",,,https://www.singaporetech.edu.sg/modules/programming-fundamentals,,"The foundations provided in this module are essential in most modules of the following terms in the ICT programmes.  The topics covered in this module include Introduction to the historical and social context of computing, Basic concepts in programming (Data types, Control structures, Functions, Arrays, pointers, Files), Running, Testing and Debugging scripts and programs, Overview of Programming paradigms. Programming concepts are demonstrated in a variety of languages and practised in a scripting language (Python) as well as a standard programming language (C)."
CSC1006,Mathematics 2,Mathematics,1.0,6,CSC,This second mathematics module will equip students with the core mathematical knowledge in statistics and linear algebra which will be required in the specialized topic in machine learning and data analytics in year 2 and year 3.,"Topics covered include descriptive statistics, probability theory, probability distributions, sampling distributions, inferential statistics, matrix operations and solving systems of linear equations.",CSC1002 or equivalent,,https://www.singaporetech.edu.sg/modules/mathematics-2,,"This second mathematics module will equip students with the core mathematical knowledge in statistics and linear algebra which will be required in the specialized topic in machine learning and data analytics in year 2 and year 3. Topics covered include descriptive statistics, probability theory, probability distributions, sampling distributions, inferential statistics, matrix operations and solving systems of linear equations."
CSC3009,Machine Learning,Data Science,3.0,6,CSC,This module presents students with an introduction to the general theory of learning from data and to a number of popular Machine Learning methods. It also enables the students to use a selection of common machine learning algorithms for IoT applications and be aware of when one is to be favoured over the other. ,"The main machine learning methods: regression, classification, clustering, probability density estimation, deep learning and dimensionality reduction will be covered in this module. Students will be exposed to data exploration methods in R or Python.",,,https://www.singaporetech.edu.sg/modules/machine-learning,,"This module presents students with an introduction to the general theory of learning from data and to a number of popular Machine Learning methods. It also enables the students to use a selection of common machine learning algorithms for IoT applications and be aware of when one is to be favoured over the other.  The main machine learning methods: regression, classification, clustering, probability density estimation, deep learning and dimensionality reduction will be covered in this module. Students will be exposed to data exploration methods in R or Python."
ICT1008,Data Structures and Algorithms,Computer Science,1.0,6,ICT,This module introduces the fundamental concepts of data structures and the complexity analysis of algorithms that operate on them.,"Topics include recursion, fundamental data structures (including arrays, linked lists, stacks, queues, hash tables, trees, heaps and graphs), and efficient algorithms for manipulation and searching of data in these data structures (e.g. sorting, hashing, searching, etc.).The inner workings of the different data structures and algorithms introduced in this course are demonstrated using a programming language such as Java.",,,https://www.singaporetech.edu.sg/modules/data-structures-and-algorithms,,"This module introduces the fundamental concepts of data structures and the complexity analysis of algorithms that operate on them. Topics include recursion, fundamental data structures (including arrays, linked lists, stacks, queues, hash tables, trees, heaps and graphs), and efficient algorithms for manipulation and searching of data in these data structures (e.g. sorting, hashing, searching, etc.).The inner workings of the different data structures and algorithms introduced in this course are demonstrated using a programming language such as Java."
ICT1004,Web Systems and Technologies,Computer Science,1.0,6,ICT,"IT applications are increasingly web-based. This module covers the essential web technologies to equip students with the useful skills to build websites for web-based IT applications. To begin, an overview of the web architecture will be presented to clarify the myriad and rapidly evolving web technologies. Next, the popular web technologies will be covered in details. ","Topics include HTML, CSS, JavaScript for client-side scripting, PHP for server-side scripting, MySQL database system and industry best practices to secure the websites.",,,https://www.singaporetech.edu.sg/modules/web-systems-and-technologies,,"IT applications are increasingly web-based. This module covers the essential web technologies to equip students with the useful skills to build websites for web-based IT applications. To begin, an overview of the web architecture will be presented to clarify the myriad and rapidly evolving web technologies. Next, the popular web technologies will be covered in details.  Topics include HTML, CSS, JavaScript for client-side scripting, PHP for server-side scripting, MySQL database system and industry best practices to secure the websites."
CSC1009,Object-Oriented Programming,Computer Science,1.0,6,CSC,"The aim of this introductory module is to enable students to learn the basic language constructs and APIs of Java and apply them to construct practical software components. Students will also be taught the handling of exceptions (not just to catch and ignore them) in order to develop secured code. Upon completion of this course, students will be able to apply what they have learnt to implement object-oriented software applications. They will also have an understanding of the benefits of code documentation and reusability.","The module gives coverage of fundamental algorithmic constructs in Java that realize logical, arithmetical, execution flow control and data manipulation behaviours in code. Essential APIs and code specification will be covered to encourage reusability for more efficient, scalable programming. Students will also be introduced via hands-on assignments to the application of basic object-oriented concepts that include class, inheritance and polymorphism. Basic testing using JUnit will be covered.",,,https://www.singaporetech.edu.sg/modules/object-oriented-programming-1,,"The aim of this introductory module is to enable students to learn the basic language constructs and APIs of Java and apply them to construct practical software components. Students will also be taught the handling of exceptions (not just to catch and ignore them) in order to develop secured code. Upon completion of this course, students will be able to apply what they have learnt to implement object-oriented software applications. They will also have an understanding of the benefits of code documentation and reusability. The module gives coverage of fundamental algorithmic constructs in Java that realize logical, arithmetical, execution flow control and data manipulation behaviours in code. Essential APIs and code specification will be covered to encourage reusability for more efficient, scalable programming. Students will also be introduced via hands-on assignments to the application of basic object-oriented concepts that include class, inheritance and polymorphism. Basic testing using JUnit will be covered."
DCM1112,Data Engineering and Visualization,Data Analytics,1.0,6,DCM,"This module covers the fundamentals of visualising quantitative data. Whilst data collection is becoming increasingly sophisticated, the ability to successfully translate that data into something usable and consumable remains elusive. Students will work with a wide variety of data – consumer, social, financial, medical and scientific. Students will also be exposed to the social and cultural circumstances surrounding such data.",Fundamentals of cisualising quantitative data. ,,,https://www.singaporetech.edu.sg/modules/data-visualisation-fundamentals,,"This module covers the fundamentals of visualising quantitative data. Whilst data collection is becoming increasingly sophisticated, the ability to successfully translate that data into something usable and consumable remains elusive. Students will work with a wide variety of data – consumer, social, financial, medical and scientific. Students will also be exposed to the social and cultural circumstances surrounding such data. Fundamentals of cisualising quantitative data. "
PHE2019,Ethics and Professional Conducts,Other,2.0,6,PHE,This module covers the ethics of engineering in society. Students will be doing case studies with oral presentation and written report.,Engineers in society; Roles and responsibilities of professional engineers; Fundamentals of moral and ethical values; Codes of professional conduct and ethics with cases; Corruption in engineering projects; Framework for ethical decision; Process safety,,,https://www.singaporetech.edu.sg/modules/ethics,,This module covers the ethics of engineering in society. Students will be doing case studies with oral presentation and written report. Engineers in society; Roles and responsibilities of professional engineers; Fundamentals of moral and ethical values; Codes of professional conduct and ethics with cases; Corruption in engineering projects; Framework for ethical decision; Process safety
