Information System Technology and Design (ISTD) ,,,,,,,,,,,,,,,,,
Bachelor of Engineering (Computer Science and Design),,,,,,,,,,,,,,,,,
Track in Data Analytics,,,,,,,,,,,,,,,,,
https://istd.sutd.edu.sg/education/undergraduate/curriculum-overview/,,,,,,,,,,,,,,,,,
,https://istd.sutd.edu.sg/education/undergraduate/course-catalogue/,,,,,,,,,,,,,,,,
Module code,Module Title,Module level,Department,Workload,Preclusion,Prerequisites,Semester offered,Module description,Final,Project,URL Link,Topic covered,Module feedback,Learning Objective,Measurable Outcomes,Project,Final
10.014,Computational Thinking for Design,,Faculty of Architecture and Sustainable Design [ASD] & Faculty of Information Systems Technology and Design [ISTD],12,,,,"An introductory programming course that combines programming both in the architectural design and computing contexts targeted at novice programmers. It will introduce students to programming and design computing skills that are essential for their studies in SUTD, regardless of their choice of major. Students will learn visual programming and python programming together with design concepts, and will apply these skills in related projects.",,,,,,Acquire conceptual knowledge and skills for visual and python programming,"Implement a working visual/textual program to generate variations of a 3‐dimensional model in accordance to a given geometric problem
Develop python programs that meet a set of specifications to solve computational problems.
Produce a physical artefact as the final outcome of a computational process for a design project.
Develop and deliver a written report on time that describes the results of the design project.",1,0
50.001,Information Systems & Programming,,Faculty of Information Systems Technology and Design [ISTD],12,,10.014 Computational Thinking for Design (For AY2020 and subsequent batches),,"This course is an introduction to the design and programming of information systems. Topics include object oriented programming, data structures, mobile system and programming, design pattern and use of software libraries. Sample applications include Internet of Things, Android app and data analytics.",,,,"Java Introduction, Android Studio, Array, String, Static Checking, Class, OOP, Inheritance, Abstract class, Interface, Exception, Test-first Programming, Recursion, Specifications, Regular expressions and grammers, IoT introduction, applications, Mobile programming with Android, IoT software framework, programming, IoT data analytics and programming, OO Design pattern, GUI.",,"Identify and describe the requirements for an information system.
Use object-oriented methodology to produce a modular and testable design.
Work as part of a team to produce a working system on time.","Apply the key concepts of Object Oriented Programming [exams].
Use inheritance, polymorphism, encapsulation and method overloading in designing software systems. [projects, homework, exams].
Identify classes, members of a class and the relationships among them needed for a specific problem [projects, homework, exams].
Implement and test basic algorithms and data structures [projects, homework, exams).
Apply basic principles of user-interface design [projects, homework].
Develop skills in systematic testing and debugging [projects].
Work together in a team [projects].",1,1
50.002,Computation Structures,,Faculty of Information Systems Technology and Design [ISTD],12,,10.014 Computational Thinking for Design (For AY2020 and subsequent batches),,"This course introduces architecture of digital systems, emphasising structural principles common to a wide range of technologies. Topics include Multilevel implementation strategies; definition of new primitives (e.g., gates, instructions, procedures, and processes) and their mechanisation using lower-level elements. Analysis of potential concurrency; precedence constraints and performance measures; pipelined and multidimensional systems; instruction set design issues; architectural support for contemporary software structures.",,,,"Course overview and mechanics, Basics of Information, The Digital Abstraction, CMOS Technology, Basic Hardware Lab (Combine with EPD), Logic Synthesis, Logic Simplification, Multiplexer, ROM, SW Lab1 (CMOS), Sequential Logic, Finite State Machines and Synchronization, SW Lab 2 (Adder), Computers and Programs, The Assembly Language, SW Lab 3 (ALU), The C language, Stacks and Procedures, Stacks and Procedures (II), Building the Beta, Building the Beta (II), SW Lab 5 (Assembly Language), Memory Hierarchy, Cache Issues, SW Lab 6 (Beta), Virtual Memory, Virtual Machines, SW Lab 6 (Beta), Device Handlers and Bus, Processes, Synchronization, and Deadlock, OS summary, SW Lab 8 (Tiny OS).",,"State the role of abstraction in the design of large digital systems, and explain the major software and hardware abstractions in contemporary computer systems.
Design simple hardware systems based on a variety of digital abstractions such as ROMs, logic arrays and state machines.
Synthesize digital systems from a library of representative components and test the designs under simulation.
Describe the operation of a moderately complex digital system — a simple RISC-based computer — down to the gate level, and be able to specify, implement and debug its components.
Appreciate the technical skills necessary to be a capable digital systems engineer.
Explain the fundamentals of modern operating systems.","Identify flaws and limitations in simple systems implemented using the static discipline.
Identify flaws and limitations in simple systems implemented using clocked registers with asynchronous inputs.
Identify flaws and limitations in simple systems implemented using semaphores for process synchronization.
Characterize the logic function of combinational devices using CMOS, ROM or PLA technologies.
Explain synthesis issues for combinational devices using CMOS, ROM or PLA technologies from their functional specification.
Explain synthsis of acyclic circuits from combinational components.
Calculate performance characteristics of acyclic circuits with combinational components.
Explain and calculate performance characteristics of single-clock sequential circuits.
Implement a simple RISC-based CPU architecture.
Explain the underlaying theory of memory hierarchy.
Implement a device handler using interrupt and SVC.
Implement a synchronization system for processes using semaphore.",1,1
50.003,Elements of Software Construction,,Faculty of Information Systems Technology and Design [ISTD],12,,50.001 Information Systems & Programming,,"This course is an introduction to the fundamental principles and techniques of software construction that have greatest impact on practice. Topics include capturing the essence of a problem by recognizing and inventing suitable abstractions; key paradigms, including basic concepts of software design and their expression using notations from Unified Modeling Language (UML); software testing, automated software test generation, automated software security testing via blackbox, greybox and whitebox fuzzing approaches, detection and removal of software code smells, software coding standards to avoid security loopholes, concurrent programming, including programming with threads and processes, understanding concurrency problems like deadlock and data race. This course includes exercises in software design, implementation, testing and reasoning.",,,,"Software Development Process, Software Design and UML, Automated Software Testing: Test Execution and Test Oracle, Software Test Design: Blackbox, Whitebox and Fault-based, Web App Testing, Software Test Generation and Fuzzing: Blackbox, Greybox and Whitebox, Software Secure Coding Patterns for Java, Software Code Smells and Refactoring, Introduction to Concurrency and Sockets, Basics of Threads, Thread Safety and Synchronization, Composing Thread-safe Objects, Building Blocks, Tasks and Thread Pools, Concurrency Pitfalls and Testing, Performance and Patterns, Non-blocking Algorithms.",,"Design medium-scale software system from scratch: formulating and analyzing the problem to be solved; writing formal software requirements, exploring and formulating system designs; and using extensive and systematic testing and reasoning to ensure quality.
Apply key software engineering ideas, including invariants, decoupling, and data abstraction.
Apply key software engineering ideas, including software design, specification, abstraction, verification and correctness.
Apply widely used design concepts and notations (UML diagrams) and patterns in exploring and articulating problems and designs.
Learning effective techniques on ensuring quality of large-scale software systems.
Apply concepts of systematic software testing to discover bugs (including security vulnerabilities) in large-scale software systems.
Apply concepts to reason about the security loopholes in software systems.
Learning secure software coding standards.
Learning key concepts in developing concurrent programs.
Learning key concepts in reasoning and testing concurrent programs.","Build medium-scale software prototype (LO 1-5).
Design solution to questions related to the requirement prior to software development. (LO1, LO2 and LO4).
Design blackbox, whitebox and diabolic software tests for validating software prototype. (LO6).
Design critical part of the software by reasoning about its security. (LO8).
Design small/medium-scale concurrent programs. (LO9).
Design techniques to reason about the correctness of the concurrent programs (LO10).
Design software prototype with the objective of its maintainability and security. (LO5, LO7).
Design sofware testing methodologies to automatically discover potential security vulnerabilities, such as program crashes (LO6).",1,1
50.004,Algorithms,,Faculty of Information Systems Technology and Design [ISTD],12,,10.014 Computational Thinking for Design (For AY2020 and subsequent batches),,"This course is an introduction to algorithms and algorithmic thinking. The course covers common algorithms, algorithmic paradigms, and data structures that can be used to solve computational problems. Emphasis is placed on understanding why algorithms work, and how to analyze the complexity of algorithms. Students will learn the underlying thought process on how to design their own algorithms, including how to use suitable data structures and techniques such as dynamic programming to design algorithms that are efficient.",,,,"Complexity, Asymptotic notation, Document distance, Peak finding, divide-and-conquer, Sorting algorithms, master theorem, Heaps, priority queues, analysis of heap algorithms, Binary search trees (BSTs), BST operations, AVL trees, Arrays vs linked lists, hashing, designing good hash functions, re-hashing, Graphs as data structures, breadth-first search, depth-first search, topological sort, Single source shortest path problem, Bellman-Ford algorithm, Dijkstra’s algorithm, Dynamic Programming (DP), designing DP algorithms, DP problems: rod-cutting problem, knapsack problem, text justification problem, matrix chain parenthesization, P vs NP, decision problems, polynomial-time reduction, NP-hardness, Examples of NP-complete problems (inc. multiple graph-related NP-complete problems), More graph-theoretic terminology, 3-SAT problem.",,"At the end of the term, students will be able to:

Analyze the running times of algorithms.
Demonstrate familiarity with major algorithms and data structures.
Use suitable data structures in algorithms to solve computational problems.
Identify major issues in the implementation of algorithms.
Solve algorithmic issues in the design of information systems.
Understand graphs as data structures, and implement graph traversals.
Apply Bellman-Ford algorithm and Dijkstra’s algorithm to compute shortest paths in graphs.
Design efficient algorithms using dynamic programming to solve computational problems.
Analyze NP-complete problems and apply polynomial-time reductions to problems.","Compute the asymptotic complexity of algorithms.
Analyze and apply properties of data structures.
Design algorithms that build upon basic operations on data structures.
Apply and/or modify existing algorithms to solve computational problems.
Compute hash tables and perform re-hashing.
Implement graph-based algorithms on provided graphs.
Design efficient algorithms using dynamic programming.
Analyze NP-complete problems and apply polynomial-time reductions to problems.",1,1
50.005,Computer System Engineering,,Faculty of Information Systems Technology and Design [ISTD],12,,50.002 Computation Structures,,"Topics on the engineering of computing and networking systems: design challenges; techniques for controlling complexity; operating systems and networking systems: performance; strong modularity; client-server; naming; security and privacy, atomicity and coordination of concurrent activities; user and end-to-end applications. Case studies of working systems and readings from the current literature provide comparisons and contrasts. Students will complete two design/implementation projects.",,,,"Key challenges and basic principles in the design of large-scale computing systems, Process management and multithreaded programming, Process scheduling, synchronization, deadlock, Memory management, file system, and I/O system, End-to-end network performance (e.g., loss, throughput, and delay) and impact on network applications, Network security: applied cryptography; key certification; confidentiality, integrity, authentication, and availability; types of network attacks; design of secure network protocols, Network naming and addressing; DNS as a scalable and distributed infrastructure for name resolution in the Internet, Client-server network programming; HTTP and the World Wide Web.",,"At the end of the term, students will be able to:

Explain sources of complexity in computer system design, e.g. incommensurate scaling and emergent properties.
Exploit systems design principles to cope with the complexity, e.g., modularity, hierarchy, layering, indirection.
Command software tools to measure performance and understand how actual computing and network systems work.
Explain the design and implementation of real-world computing and networking (i.e., Internet) systems, e.g., DNS, HTTP, OpenSSL.
Develop programming skills to develop OS and networking tools and software.","Use software tools to understand, measure, and design modern computing systems.
Implement concurrent and network programs in Java.
Explain the conceptual underpinnings of modern computing system design; apply relevant principles and techniques in conceptual problem solving.",1,1
50.007,Machine Learning,,Faculty of Information Systems Technology and Design [ISTD],12,,"50.001 Information Systems & Programming and 50.004 Algorithms; or
A working knowledge of programming in Python or Java and a strong foundation in probability and statistics, and optimization (topics such as dynamic programming)",,"Machine learning is the study of algorithms that improve their performance at some task with experience. In this course, students will learn how machine learning has led to many innovative real-world applications. The students will also gain an in-depth understanding of a broad range of machine learning algorithms from basic to state-of-the-art, such as: naïve Bayes, logistic regression, neural networks, clustering, probabilistic graphical models, reinforcement learning and SVMs.",,,,"Introduction
Perceptron
Linear Regression
Logistic Regression
Support Vector Machines
Kernel Methods
Neural Networks and Deep Learning
Clustering
Generative Models
Mixture Models and Expectation Maximization
Hidden Markov Model
Bayesian networks
Reinforcement Learning",,"At the end of the term, students will be able to:

Recognize the characteristics of machine learning that make it useful to real-world problems.
Explain the basic underlying concepts for supervised discriminative and generative learning.
Explain the concepts of cross-validation and regularization, be able to use them for estimation of algorithm parameters.
Characterize machine learning algorithms as supervised, semi-supervised, and unsupervised.
Have heard of a few machine learning toolboxes.
Use support vector machines.
Use regularized regression algorithms.
Explain the concept behind neural networks for learning non-linear functions.
Apply unsupervised algorithms for clustering.
Explain the foundation of generative models.
Implement the inference and learning algorithms for the hidden Markov model.
Explain the learning algorithm for hidden Markov model with latent variables.
Explain algorithms for learning Bayesian networks.
Explain reinforcement learning algorithms.","List useful real-world applications of machine learning.
Implement and apply machine learning algorithms.
Choose appropriate algorithms for a variety of problems.",1,1
40.319,Statistical and Machine Learning,,Faculty of Engineering Systems and Design,12,,40.017 Probability and Statistics,,"An agent is intelligent if it perceives its environment and takes actions that maximize its chances of successfully achieving its goals. In this course, we will study how to imbue machines with intelligence, focusing on foundational principles and mathematical theories of real-world modeling, problem solving and statistical learning. We will borrow strategies from biological intelligence such as neural networks and reinforcement learning. Students will learn powerful concepts from decision theory, information theory, generative models, deep learning, dimensionality reduction, expectation-maximization, time-series prediction, control theory and machine reasoning, and will exploit software tools for building intelligent systems.",,,,,,"Acquire a basic understanding in the fundamental concepts and principles of machine learning; decision theory, information theory, model selection, time series prediction, machine reasoning
Understand and apply methods in supervised learning and generative models;
generalized linear models, kernel methods, graphical models
Understand and apply concepts in unsupervised learning and dimensionality reduction; autoencoders, matrix factorization, expectation-maximization, latent variables, mixture models
Understand and apply techniques in reinforcement learning; Kalman filters, Q-learning
Acquire a working knowledge of neural networks and backpropagation, and extend the techniques learnt to analyze standard deep learning models such as convolutional neural networks and recurrent neural networks","Design suitable mathematical models for real-world problems.
Build intelligent systems by composing appropriate algorithms.
Critique the strengths and weaknesses of different solutions.",1,1
